_u,_v,abs(NearPoyntingTotal)[irrad_W_per_m2]
2.5,1.5,3.23596e-05
3,1.5,5.09467e-05
3.5,1.5,0.000172836
4,1.5,1.86288e-05
4.5,1.5,0.0001359
5,1.5,0.000184694
5.5,1.5,0.000112373
6,1.5,0.000140341
6.5,1.5,0.000289677
7,1.5,0.000341303
7.5,1.5,0.000297101
8,1.5,0.000106182
8.5,1.5,0.000155978
9,1.5,0.000140439
9.5,1.5,0.000122563
10,1.5,3.48119e-05
-10,2,6.75066e-05
-9.5,2,0.000120293
-9,2,7.52175e-05
-8.5,2,3.22783e-05
-8,2,5.529e-05
-7.5,2,3.40461e-05
-7,2,1.5279e-05
-6.5,2,5.31169e-05
-6,2,3.61177e-05
-5.5,2,2.30865e-05
-5,2,1.75982e-05
-4.5,2,5.97081e-05
-4,2,0.000311896
-3.5,2,0.000393828
-3,2,0.000257839
-2.5,2,0.000142555
-2,2,0.000174647
-1.5,2,0.000209523
-1,2,0.000232589
-0.5,2,4.1592e-05
0,2,0.000106247
0.5,2,0.000218737
1,2,0.000159106
1.5,2,0.000236546
2,2,0.000192824
2.5,2,3.20396e-05
3,2,9.2063e-05
3.5,2,0.000108853
4,2,6.22151e-05
4.5,2,0.000166179
5,2,0.000309537
5.5,2,0.000187328
6,2,7.92021e-05
6.5,2,0.0001186
7,2,0.000273741
7.5,2,0.000188767
8,2,9.68081e-05
8.5,2,0.000203582
9,2,0.000398409
9.5,2,0.000221211
10,2,8.75363e-05
-10,2.5,1.28393e-05
-9.5,2.5,0.000119417
-9,2.5,8.17999e-05
-8.5,2.5,0.000120346
-8,2.5,1.3857e-05
-7.5,2.5,4.13724e-05
-7,2.5,2.07712e-05
-6.5,2.5,3.87216e-05
-6,2.5,9.48476e-05
-5.5,2.5,3.03885e-05
-5,2.5,3.63406e-05
-4.5,2.5,0.000114089
-4,2.5,0.000452123
-3.5,2.5,0.000349258
-3,2.5,0.000192258
-2.5,2.5,0.000185369
-2,2.5,0.000343657
-1.5,2.5,0.000173776
-1,2.5,0.000108946
-0.5,2.5,4.45612e-05
0,2.5,0.000158667
0.5,2.5,0.000453196
1,2.5,8.30942e-05
1.5,2.5,0.000196336
2,2.5,0.000468442
2.5,2.5,4.57318e-05
3,2.5,8.51027e-05
3.5,2.5,0.000125904
4,2.5,5.64446e-05
4.5,2.5,0.000166234
5,2.5,0.000437284
5.5,2.5,0.000156882
6,2.5,9.77595e-05
6.5,2.5,0.000325038
7,2.5,0.000171503
7.5,2.5,3.27048e-05
8,2.5,2.37075e-05
8.5,2.5,0.000124174
9,2.5,0.000486986
9.5,2.5,0.000432191
10,2.5,0.000251545
-10,3,2.70194e-05
-9.5,3,3.05385e-05
-9,3,4.29547e-05
-8.5,3,2.10102e-05
-8,3,6.01962e-05
-7.5,3,2.92453e-05
-7,3,5.9266e-05
-6.5,3,1.27032e-05
-6,3,2.73342e-05
-5.5,3,0.000108856
-5,3,5.48731e-06
-4.5,3,5.43651e-05
-4,3,0.000262787
-3.5,3,0.000280823
-3,3,0.000144655
-2.5,3,0.000169738
-2,3,0.000221566
-1.5,3,0.000205269
-1,3,0.000190271
-0.5,3,7.68768e-05
0,3,0.000239437
0.5,3,0.000203524
1,3,0.000190684
1.5,3,0.00018551
2,3,0.000268174
2.5,3,0.000102883
3,3,7.62008e-05
3.5,3,6.84347e-05
4,3,8.5981e-05
4.5,3,2.64276e-05
5,3,0.000151756
5.5,3,0.00016221
6,3,1.31968e-05
6.5,3,0.000212612
7,3,0.000659267
7.5,3,0.000344509
8,3,4.98009e-05
8.5,3,7.13841e-05
9,3,0.000437025
9.5,3,0.000420942
10,3,0.000180536
-10,3.5,2.72735e-05
-9.5,3.5,2.95818e-05
-9,3.5,8.75833e-06
-8.5,3.5,2.20386e-05
-8,3.5,7.78873e-05
-7.5,3.5,1.07818e-05
-7,3.5,8.10511e-05
-6.5,3.5,3.50662e-05
-6,3.5,4.9803e-05
-5.5,3.5,0.000145831
-5,3.5,9.05156e-05
-4.5,3.5,2.03117e-05
-4,3.5,0.000225857
-3.5,3.5,0.000220797
-3,3.5,0.000128863
-2.5,3.5,0.000236011
-2,3.5,8.0271e-05
-1.5,3.5,0.000165939
-1,3.5,0.000189735
-0.5,3.5,5.09848e-05
0,3.5,7.19986e-05
0.5,3.5,0.0003315
1,3.5,0.000286939
1.5,3.5,0.000113878
2,3.5,0.000196542
2.5,3.5,0.000107549
3,3.5,6.17585e-05
3.5,3.5,0.000115175
4,3.5,8.14452e-05
4.5,3.5,5.29682e-05
5,3.5,0.000150511
5.5,3.5,7.29175e-05
6,3.5,0.000118472
6.5,3.5,0.000117773
7,3.5,0.000271782
7.5,3.5,0.000336486
8,3.5,7.85105e-05
8.5,3.5,0.000173427
9,3.5,0.000416361
9.5,3.5,0.000313448
10,3.5,0.00018136
-10,4,1.30014e-05
-9.5,4,4.17925e-05
-9,4,5.58128e-06
-8.5,4,4.33769e-05
-8,4,2.3072e-05
-7.5,4,2.50609e-05
-7,4,7.10662e-05
-6.5,4,8.40972e-05
-6,4,0.000108111
-5.5,4,0.00016179
-5,4,7.09064e-05
-4.5,4,7.53052e-05
-4,4,0.000145077
-3.5,4,0.000205515
-3,4,0.000106893
-2.5,4,0.000105386
-2,4,8.14403e-05
-1.5,4,0.000175478
-1,4,0.00010915
-0.5,4,0.000141759
0,4,2.8257e-05
0.5,4,0.000300359
1,4,0.000215343
1.5,4,4.88165e-05
2,4,0.000310408
2.5,4,7.7163e-05
3,4,5.87438e-05
3.5,4,0.000177226
4,4,3.1015e-05
4.5,4,0.00023123
5,4,0.00033675
5.5,4,3.89311e-05
6,4,0.000256716
6.5,4,0.000347965
7,4,0.000126333
7.5,4,3.15582e-05
8,4,9.294e-05
8.5,4,0.000477402
9,4,0.000877048
9.5,4,0.000234337
10,4,9.23522e-05
-10,4.5,4.57068e-05
-9.5,4.5,7.28817e-05
-9,4.5,2.38752e-05
-8.5,4.5,5.34072e-05
-8,4.5,3.13532e-05
-7.5,4.5,4.00642e-05
-7,4.5,6.91271e-05
-6.5,4.5,5.37337e-05
-6,4.5,6.36434e-05
-5.5,4.5,0.000104734
-5,4.5,7.15036e-05
-4.5,4.5,2.09416e-05
-4,4.5,1.51686e-05
-3.5,4.5,0.000132786
-3,4.5,0.000211817
-2.5,4.5,4.27907e-05
-2,4.5,5.10017e-05
-1.5,4.5,0.000181879
-1,4.5,0.000129131
-0.5,4.5,5.61999e-05
0,4.5,6.01966e-05
0.5,4.5,0.000148032
1,4.5,0.000110944
1.5,4.5,0.000112796
2,4.5,0.00029036
2.5,4.5,3.53041e-05
3,4.5,5.40416e-05
3.5,4.5,9.21165e-05
4,4.5,4.40871e-05
4.5,4.5,0.000144905
5,4.5,1.92969e-05
5.5,4.5,0.00016193
6,4.5,0.000239071
6.5,4.5,4.03173e-05
7,4.5,0.000153888
7.5,4.5,0.000104987
8,4.5,0.0002056
8.5,4.5,0.000371197
9,4.5,0.000169358
9.5,4.5,5.94275e-05
10,4.5,0.000152552
-10,5,6.70426e-06
-9.5,5,6.22643e-05
-9,5,1.42652e-05
-8.5,5,4.56304e-05
-8,5,3.22453e-05
-7.5,5,5.32298e-05
-7,5,3.94695e-05
-6.5,5,5.92944e-05
-6,5,4.12557e-05
-5.5,5,7.02449e-05
-5,5,8.79917e-05
-4.5,5,1.99931e-05
-4,5,2.82082e-05
-3.5,5,0.000111803
-3,5,0.000199389
-2.5,5,3.24581e-05
-2,5,4.12601e-05
-1.5,5,0.000231282
-1,5,0.000163639
-0.5,5,0.000111931
0,5,0.000149136
0.5,5,0.000130213
1,5,9.608e-05
1.5,5,8.51302e-05
2,5,0.000150689
2.5,5,5.55334e-05
3,5,0.000151783
3.5,5,1.64371e-05
4,5,0.000118637
4.5,5,1.97768e-05
5,5,0.000265776
5.5,5,0.000363976
6,5,5.49129e-05
6.5,5,0.000208767
7,5,0.000455381
7.5,5,0.00014032
8,5,0.000174701
8.5,5,6.96463e-05
9,5,4.32031e-05
9.5,5,0.000218331
10,5,0.000202901
-10,5.5,1.39647e-05
-9.5,5.5,9.30395e-05
-9,5.5,2.33154e-05
-8.5,5.5,4.89106e-05
-8,5.5,2.90464e-05
-7.5,5.5,1.42931e-05
-7,5.5,2.11694e-05
-6.5,5.5,2.77193e-05
-6,5.5,2.97522e-05
-5.5,5.5,5.50574e-05
-5,5.5,4.93765e-05
-4.5,5.5,1.52337e-05
-4,5.5,2.03654e-05
-3.5,5.5,8.08702e-05
-3,5.5,0.000142865
-2.5,5.5,2.33791e-05
-2,5.5,7.66976e-05
-1.5,5.5,0.000151005
-1,5.5,0.000164813
-0.5,5.5,8.01605e-05
0,5.5,0.000141679
0.5,5.5,5.89141e-05
1,5.5,6.70299e-05
1.5,5.5,0.000180301
2,5.5,6.52521e-05
2.5,5.5,0.000193107
3,5.5,0.000307833
3.5,5.5,0.000125858
4,5.5,0.000201329
4.5,5.5,1.42902e-05
5,5.5,0.000147867
5.5,5.5,0.000268892
6,5.5,5.37162e-05
6.5,5.5,0.000108591
7,5.5,0.000267387
7.5,5.5,7.67675e-05
8,5.5,1.76538e-05
8.5,5.5,0.000107677
9,5.5,8.75619e-05
9.5,5.5,0.00014422
10,5.5,0.000210959
-10,6,3.40546e-05
-9.5,6,5.81934e-05
-9,6,1.24432e-05
-8.5,6,4.22446e-05
-8,6,5.41183e-05
-7.5,6,4.28772e-05
-7,6,3.10927e-05
-6.5,6,2.03779e-05
-6,6,1.7377e-05
-5.5,6,5.03109e-05
-5,6,4.72869e-05
-4.5,6,5.64441e-05
-4,6,1.71323e-05
-3.5,6,6.5697e-05
-3,6,0.000143735
-2.5,6,4.98478e-05
-2,6,3.45321e-05
-1.5,6,7.63809e-05
-1,6,0.000146572
-0.5,6,0.000174753
0,6,5.91024e-05
0.5,6,0.00011492
1,6,5.70113e-05
1.5,6,7.64994e-05
2,6,2.77983e-05
2.5,6,0.000394813
3,6,0.000137212
3.5,6,0.000197254
4,6,0.000133783
4.5,6,2.2248e-05
5,6,0.000129721
5.5,6,0.000213517
6,6,1.77741e-05
6.5,6,0.000229976
7,6,0.000171473
7.5,6,8.05334e-05
8,6,7.09208e-05
8.5,6,0.000203505
9,6,0.000367658
9.5,6,0.00050889
10,6,0.000122891
-10,6.5,3.41031e-05
-9.5,6.5,1.76768e-05
-9,6.5,5.08403e-06
-8.5,6.5,3.4817e-05
-8,6.5,4.46176e-05
-7.5,6.5,5.01527e-05
-7,6.5,4.06593e-05
-6.5,6.5,5.82684e-06
-6,6.5,5.28852e-05
-5.5,6.5,5.18248e-05
-5,6.5,5.32112e-05
-4.5,6.5,5.29432e-05
-4,6.5,2.29872e-05
-3.5,6.5,8.62501e-05
-3,6.5,0.000111633
-2.5,6.5,3.62458e-05
-2,6.5,1.285e-05
-1.5,6.5,0.000106539
-1,6.5,0.000163149
-0.5,6.5,9.42496e-05
0,6.5,1.78027e-05
0.5,6.5,0.000130846
1,6.5,0.000104161
1.5,6.5,2.88129e-05
2,6.5,4.10081e-05
2.5,6.5,0.000343086
3,6.5,6.09671e-05
3.5,6.5,2.92915e-05
4,6.5,2.0863e-05
4.5,6.5,0.000172942
5,6.5,8.39501e-05
5.5,6.5,3.5467e-05
6,6.5,3.43917e-05
6.5,6.5,3.75468e-05
7,6.5,2.09583e-05
7.5,6.5,9.56991e-05
8,6.5,0.000110533
8.5,6.5,0.000478477
9,6.5,0.000623183
9.5,6.5,0.000290435
10,6.5,3.37544e-05
-10,7,5.17144e-05
-9.5,7,2.90349e-05
-9,7,1.19092e-05
-8.5,7,2.37105e-05
-8,7,2.71483e-05
-7.5,7,1.46252e-05
-7,7,1.72464e-05
-6.5,7,1.21887e-05
-6,7,6.64915e-05
-5.5,7,8.00274e-05
-5,7,6.63935e-05
-4.5,7,2.6061e-05
-4,7,1.79196e-05
-3.5,7,6.00119e-05
-3,7,5.64336e-05
-2.5,7,1.38934e-05
-2,7,2.10458e-05
-1.5,7,0.000125286
-1,7,0.000143242
-0.5,7,3.32495e-05
0,7,3.95903e-06
0.5,7,0.000146539
1,7,0.000111313
1.5,7,3.88782e-05
2,7,0.000169305
2.5,7,0.000259082
3,7,9.63581e-05
3.5,7,8.11599e-05
4,7,0.000146366
4.5,7,0.000328067
5,7,7.05847e-05
5.5,7,0.000154135
6,7,0.000122291
6.5,7,8.33212e-05
7,7,5.84296e-05
7.5,7,0.000197013
8,7,7.16285e-05
8.5,7,0.000537182
9,7,0.000266538
9.5,7,0.000157841
10,7,0.000218057
-10,7.5,2.27325e-05
-9.5,7.5,1.51471e-05
-9,7.5,1.48719e-05
-8.5,7.5,3.87543e-06
-8,7.5,1.39609e-05
-7.5,7.5,1.65654e-05
-7,7.5,7.38754e-06
-6.5,7.5,3.34461e-05
-6,7.5,3.10443e-05
-5.5,7.5,7.18837e-05
-5,7.5,4.51524e-05
-4.5,7.5,2.23872e-05
-4,7.5,4.93277e-05
-3.5,7.5,6.15085e-05
-3,7.5,5.48094e-05
-2.5,7.5,1.37778e-05
-2,7.5,8.35634e-05
-1.5,7.5,9.05959e-05
-1,7.5,0.000138969
-0.5,7.5,3.72592e-05
0,7.5,6.06805e-05
0.5,7.5,0.000142733
1,7.5,8.64638e-05
1.5,7.5,5.22181e-05
2,7.5,0.000322895
2.5,7.5,0.000157164
3,7.5,0.000181355
3.5,7.5,0.00022393
4,7.5,0.000196809
4.5,7.5,0.000207399
5,7.5,2.66955e-05
5.5,7.5,3.42272e-05
6,7.5,0.000175739
6.5,7.5,0.000157052
7,7.5,8.93647e-05
7.5,7.5,0.000131787
8,7.5,0.000179918
8.5,7.5,0.000153463
9,7.5,0.00013452
9.5,7.5,0.000387641
10,7.5,0.000308416
-10,8,3.81084e-05
-9.5,8,2.33778e-05
-9,8,6.64216e-06
-8.5,8,1.34288e-05
-8,8,3.28169e-05
-7.5,8,3.16014e-05
-7,8,1.76336e-05
-6.5,8,5.86576e-05
-6,8,1.58209e-05
-5.5,8,7.5538e-05
-5,8,7.63885e-05
-4.5,8,3.865e-05
-4,8,4.96204e-05
-3.5,8,1.51399e-05
-3,8,4.53086e-05
-2.5,8,3.41324e-05
-2,8,0.000198191
-1.5,8,0.000149218
-1,8,9.84079e-05
-0.5,8,2.18401e-05
0,8,0.000119373
0.5,8,0.000223783
1,8,0.000209045
1.5,8,0.000189432
2,8,0.000277301
2.5,8,0.000137224
3,8,0.000238483
3.5,8,0.000597671
4,8,0.000476638
4.5,8,5.50177e-05
5,8,0.000234162
5.5,8,0.0004599
6,8,0.000367489
6.5,8,0.000552274
7,8,0.000319425
7.5,8,0.0004821
8,8,0.000761102
8.5,8,0.000862852
9,8,0.000214862
9.5,8,0.000861308
10,8,0.0011779
-10,8.5,4.37265e-05
-9.5,8.5,1.86173e-05
-9,8.5,2.3888e-05
-8.5,8.5,3.00801e-05
-8,8.5,1.56147e-05
-7.5,8.5,2.69326e-05
-7,8.5,4.49573e-05
-6.5,8.5,5.14821e-05
-6,8.5,2.86259e-05
-5.5,8.5,6.40514e-05
-5,8.5,5.35422e-05
-4.5,8.5,2.31143e-05
-4,8.5,2.66495e-05
-3.5,8.5,4.67646e-05
-3,8.5,5.24935e-05
-2.5,8.5,5.50001e-05
-2,8.5,0.000178631
-1.5,8.5,0.000200529
-1,8.5,6.54769e-05
-0.5,8.5,4.58056e-05
0,8.5,0.000140264
0.5,8.5,0.000224931
1,8.5,0.000188003
1.5,8.5,0.00023607
2,8.5,0.00023482
2.5,8.5,0.000369663
3,8.5,0.000469152
3.5,8.5,0.000776812
4,8.5,0.000652081
4.5,8.5,0.000614441
5,8.5,0.000773678
5.5,8.5,0.00159531
6,8.5,0.000927212
6.5,8.5,0.000868788
7,8.5,0.000823834
7.5,8.5,0.000886501
8,8.5,0.000950449
8.5,8.5,0.00126875
9,8.5,0.0004345
9.5,8.5,0.000545356
10,8.5,0.00159955
-10,9,3.65381e-05
-9.5,9,1.71409e-05
-9,9,5.53149e-05
-8.5,9,9.05002e-05
-8,9,4.2457e-05
-7.5,9,3.19234e-05
-7,9,5.57413e-05
-6.5,9,5.60996e-05
-6,9,4.12627e-05
-5.5,9,4.95736e-05
-5,9,4.84161e-05
-4.5,9,3.62488e-05
-4,9,1.55192e-05
-3.5,9,5.55424e-05
-3,9,8.80245e-05
-2.5,9,5.68229e-05
-2,9,9.26406e-05
-1.5,9,0.000114417
-1,9,8.57678e-05
-0.5,9,0.000141372
0,9,0.000305867
0.5,9,0.000248411
1,9,0.000216677
1.5,9,0.000357239
2,9,0.0003048
2.5,9,0.000583705
3,9,0.000818666
3.5,9,0.000707913
4,9,0.000667207
4.5,9,0.00123401
5,9,0.00116511
5.5,9,0.00147329
6,9,0.00105816
6.5,9,0.000441831
7,9,0.000845111
7.5,9,0.000611427
8,9,0.000661117
8.5,9,0.00109785
9,9,0.000463263
9.5,9,0.000308062
10,9,0.00109561
-10,9.5,2.70751e-05
-9.5,9.5,2.52291e-05
-9,9.5,7.81837e-05
-8.5,9.5,8.28437e-05
-8,9.5,4.41154e-05
-7.5,9.5,5.48948e-05
-7,9.5,5.95147e-05
-6.5,9.5,2.37305e-05
-6,9.5,6.76753e-05
-5.5,9.5,1.35603e-05
-5,9.5,3.79003e-05
-4.5,9.5,5.67491e-05
-4,9.5,9.12193e-05
-3.5,9.5,9.05087e-05
-3,9.5,0.00013277
-2.5,9.5,0.000144862
-2,9.5,9.24204e-05
-1.5,9.5,0.000114664
-1,9.5,0.000148363
-0.5,9.5,0.000186675
0,9.5,0.000431283
0.5,9.5,0.000384159
1,9.5,0.000365895
1.5,9.5,0.000481678
2,9.5,0.000745189
2.5,9.5,0.000681339
3,9.5,0.00092078
3.5,9.5,0.000820129
4,9.5,0.000950222
4.5,9.5,0.000938943
5,9.5,0.00107811
5.5,9.5,0.000844911
6,9.5,0.000828364
6.5,9.5,0.00100365
7,9.5,0.000724338
7.5,9.5,0.000491302
8,9.5,0.000392153
8.5,9.5,0.000616671
9,9.5,0.000330005
9.5,9.5,0.000236906
10,9.5,0.000809251
-10,10,1.97686e-05
-9.5,10,2.12476e-05
-9,10,4.78554e-05
-8.5,10,7.37786e-05
-8,10,3.59509e-05
-7.5,10,7.74232e-05
-7,10,8.01953e-05
-6.5,10,3.11341e-05
-6,10,3.94553e-05
-5.5,10,3.60345e-05
-5,10,8.68954e-05
-4.5,10,0.000119006
-4,10,0.000200702
-3.5,10,0.000147948
-3,10,0.000169324
-2.5,10,0.000143002
-2,10,0.000141569
-1.5,10,0.00019676
-1,10,0.000326023
-0.5,10,0.000306323
0,10,0.000510755
0.5,10,0.000591349
1,10,0.000642089
1.5,10,0.000739667
2,10,0.000827876
2.5,10,0.000635312
3,10,0.00109693
3.5,10,0.00146949
4,10,0.00091425
4.5,10,0.000695192
5,10,0.000532971
5.5,10,0.000267786
6,10,0.000262455
6.5,10,0.00055311
7,10,0.000528109
7.5,10,0.000186262
8,10,0.000201405
8.5,10,0.000514981
9,10,0.00045329
9.5,10,0.000202477
10,10,0.000619825
