_u,_v,abs(NearPoyntingTotal)[irrad_W_per_m2]
6.5,-8,0.000451236
7,-8,0.000418488
7.5,-8,0.00053816
8,-8,0.000471605
8.5,-8,0.000529064
9,-8,0.000116568
9.5,-8,0.000830284
10,-8,0.0011287
-10,-7.5,3.92341e-05
-9.5,-7.5,1.53091e-05
-9,-7.5,2.95218e-05
-8.5,-7.5,1.33635e-05
-8,-7.5,4.74216e-05
-7.5,-7.5,2.36158e-05
-7,-7.5,5.22462e-06
-6.5,-7.5,5.4289e-05
-6,-7.5,8.18637e-05
-5.5,-7.5,0.000100945
-5,-7.5,7.07326e-05
-4.5,-7.5,4.10177e-05
-4,-7.5,6.11085e-05
-3.5,-7.5,1.31227e-05
-3,-7.5,6.48833e-05
-2.5,-7.5,8.60888e-05
-2,-7.5,9.32044e-05
-1.5,-7.5,7.81121e-05
-1,-7.5,9.6258e-05
-0.5,-7.5,3.14279e-05
0,-7.5,7.44721e-05
0.5,-7.5,0.000116492
1,-7.5,0.000103961
1.5,-7.5,9.72293e-05
2,-7.5,0.000167186
2.5,-7.5,8.74129e-05
3,-7.5,0.00020506
3.5,-7.5,0.000261749
4,-7.5,8.62204e-05
4.5,-7.5,9.79875e-05
5,-7.5,2.68796e-05
5.5,-7.5,5.87289e-05
6,-7.5,8.64247e-05
6.5,-7.5,0.000125509
7,-7.5,6.04784e-05
7.5,-7.5,5.69957e-05
8,-7.5,9.38679e-05
8.5,-7.5,6.76113e-05
9,-7.5,0.000104483
9.5,-7.5,0.000316146
10,-7.5,0.000232221
-10,-7,4.97913e-05
-9.5,-7,4.30689e-05
-9,-7,2.55544e-05
-8.5,-7,7.99745e-06
-8,-7,4.41091e-05
-7.5,-7,1.95517e-05
-7,-7,1.20143e-05
-6.5,-7,2.34086e-05
-6,-7,4.63047e-05
-5.5,-7,0.000132515
-5,-7,6.08309e-05
-4.5,-7,6.33363e-05
-4,-7,3.07397e-05
-3.5,-7,7.01471e-05
-3,-7,3.22175e-05
-2.5,-7,5.70202e-05
-2,-7,5.83327e-05
-1.5,-7,0.000119401
-1,-7,0.000163657
-0.5,-7,2.37998e-05
0,-7,1.60785e-05
0.5,-7,0.000110181
1,-7,8.41655e-05
1.5,-7,4.46776e-05
2,-7,0.000114987
2.5,-7,0.000160767
3,-7,0.000156596
3.5,-7,0.000153157
4,-7,0.000112836
4.5,-7,0.000156489
5,-7,2.97369e-05
5.5,-7,0.000185158
6,-7,0.000194914
6.5,-7,2.05316e-05
7,-7,5.36092e-05
7.5,-7,7.64633e-05
8,-7,8.22318e-05
8.5,-7,0.000559257
9,-7,0.000303766
9.5,-7,6.97953e-05
10,-7,7.61296e-05
-10,-6.5,2.87991e-05
-9.5,-6.5,9.99948e-06
-9,-6.5,1.39963e-05
-8.5,-6.5,2.17954e-05
-8,-6.5,3.92853e-05
-7.5,-6.5,3.18422e-05
-7,-6.5,3.24956e-05
-6.5,-6.5,7.40641e-06
-6,-6.5,3.5554e-05
-5.5,-6.5,4.48382e-05
-5,-6.5,2.28487e-05
-4.5,-6.5,3.69517e-05
-4,-6.5,6.99712e-05
-3.5,-6.5,9.81903e-05
-3,-6.5,0.000102322
-2.5,-6.5,0.000102386
-2,-6.5,4.09855e-05
-1.5,-6.5,0.000136386
-1,-6.5,0.000111757
-0.5,-6.5,0.00014896
0,-6.5,1.3566e-05
0.5,-6.5,8.01964e-05
1,-6.5,8.99024e-05
1.5,-6.5,3.71183e-05
2,-6.5,4.58583e-05
2.5,-6.5,0.000220981
3,-6.5,7.04779e-05
3.5,-6.5,6.415e-05
4,-6.5,2.49585e-05
4.5,-6.5,0.000152415
5,-6.5,8.9199e-05
5.5,-6.5,2.2823e-05
6,-6.5,5.8955e-05
6.5,-6.5,4.85218e-05
7,-6.5,2.86749e-05
7.5,-6.5,4.56108e-05
8,-6.5,0.000162285
8.5,-6.5,0.000481032
9,-6.5,0.00035271
9.5,-6.5,0.000148796
10,-6.5,2.67313e-05
-10,-6,4.59661e-05
-9.5,-6,2.84108e-05
-9,-6,2.77522e-05
-8.5,-6,2.64234e-05
-8,-6,2.98842e-05
-7.5,-6,2.797e-05
-7,-6,3.22729e-05
-6.5,-6,3.85245e-05
-6,-6,1.7559e-05
-5.5,-6,1.8485e-05
-5,-6,2.22602e-05
-4.5,-6,4.0254e-05
-4,-6,1.73126e-05
-3.5,-6,5.57686e-05
-3,-6,0.000140074
-2.5,-6,7.8163e-05
-2,-6,4.29093e-05
-1.5,-6,8.12183e-05
-1,-6,0.000133019
-0.5,-6,0.000130517
0,-6,9.11993e-05
0.5,-6,0.000112227
1,-6,7.84648e-05
1.5,-6,8.55645e-05
2,-6,5.81576e-05
2.5,-6,0.000214401
3,-6,0.000123233
3.5,-6,0.000147266
4,-6,7.54649e-05
4.5,-6,3.30411e-05
5,-6,0.000127269
5.5,-6,0.000141153
6,-6,1.56351e-05
6.5,-6,0.00015853
7,-6,0.000165991
7.5,-6,7.32678e-05
8,-6,5.5483e-05
8.5,-6,9.77901e-05
9,-6,0.00025339
9.5,-6,0.000283297
10,-6,0.00010807
-10,-5.5,1.42905e-05
-9.5,-5.5,2.30526e-05
-9,-5.5,7.78244e-06
-8.5,-5.5,1.12766e-05
-8,-5.5,2.26131e-05
-7.5,-5.5,2.39741e-05
-7,-5.5,1.38665e-05
-6.5,-5.5,2.01315e-05
-6,-5.5,2.87329e-05
-5.5,-5.5,4.2452e-05
-5,-5.5,6.13854e-05
-4.5,-5.5,1.2605e-05
-4,-5.5,3.33114e-05
-3.5,-5.5,6.196e-05
-3,-5.5,7.76872e-05
-2.5,-5.5,5.53963e-05
-2,-5.5,6.071e-05
-1.5,-5.5,0.00015365
-1,-5.5,0.000175426
-0.5,-5.5,4.45801e-05
0,-5.5,9.8809e-05
0.5,-5.5,9.14104e-05
1,-5.5,3.8972e-05
1.5,-5.5,0.000229074
2,-5.5,6.82078e-05
2.5,-5.5,0.000112151
3,-5.5,0.000139821
3.5,-5.5,0.000133345
4,-5.5,0.000135591
4.5,-5.5,1.16863e-05
5,-5.5,0.0001359
5.5,-5.5,0.000212844
6,-5.5,4.84093e-05
6.5,-5.5,0.00013203
7,-5.5,0.000202583
7.5,-5.5,9.34172e-05
8,-5.5,8.94646e-05
8.5,-5.5,0.000134589
9,-5.5,0.000161656
9.5,-5.5,0.000132923
10,-5.5,0.000200207
-10,-5,1.8948e-05
-9.5,-5,3.15234e-05
-9,-5,4.00479e-05
-8.5,-5,3.5595e-05
-8,-5,5.20082e-05
-7.5,-5,3.95847e-05
-7,-5,2.18292e-05
-6.5,-5,3.18032e-05
-6,-5,4.24467e-05
-5.5,-5,9.21776e-05
-5,-5,9.61194e-05
-4.5,-5,2.09898e-05
-4,-5,4.00485e-05
-3.5,-5,8.94149e-05
-3,-5,0.000153819
-2.5,-5,2.33941e-05
-2,-5,6.2188e-05
-1.5,-5,0.000172325
-1,-5,0.000111788
-0.5,-5,7.80062e-05
0,-5,6.78474e-05
0.5,-5,0.000232609
1,-5,7.35001e-05
1.5,-5,5.71316e-05
