_u,_v,dB(NearPoyntingTotal)
10.4,-5.6,-51.6745
11.2,-5.6,-48.1495
12,-5.6,-48.9833
12.8,-5.6,-35.547
13.6,-5.6,-49.5418
14.4,-5.6,-36.7067
15.2,-5.6,-45.4408
16,-5.6,-49.0267
16.8,-5.6,-52.394
17.6,-5.6,-50.6254
18.4,-5.6,-54.5806
19.2,-5.6,-56.5547
20,-5.6,-57.987
-20,-4.8,-41.7128
-19.2,-4.8,-45.4209
-18.4,-4.8,-40.2292
-17.6,-4.8,-40.401
-16.8,-4.8,-37.0045
-16,-4.8,-36.192
-15.2,-4.8,-44.0533
-14.4,-4.8,-35.53
-13.6,-4.8,-33.4633
-12.8,-4.8,-38.2209
-12,-4.8,-37.9749
-11.2,-4.8,-35.2393
-10.4,-4.8,-27.3041
-9.6,-4.8,-30.6023
-8.8,-4.8,-39.7484
-8,-4.8,-41.0258
-7.2,-4.8,-38.1469
-6.4,-4.8,-35.1643
-5.6,-4.8,-37.1043
-4.8,-4.8,-34.9144
-4,-4.8,-35.6397
-3.2,-4.8,-36.6786
-2.4,-4.8,-39.1442
-1.6,-4.8,-40.2365
-0.8,-4.8,-40.1416
0,-4.8,-42.6571
0.8,-4.8,-42.246
1.6,-4.8,-44.0624
2.4,-4.8,-46.4145
3.2,-4.8,-40.8664
4,-4.8,-47.2852
4.8,-4.8,-45.4095
5.6,-4.8,-55.1566
6.4,-4.8,-48.4919
7.2,-4.8,-46.4566
8,-4.8,-48.6858
8.8,-4.8,-54.5045
9.6,-4.8,-49.3901
10.4,-4.8,-46.9613
11.2,-4.8,-49.5409
12,-4.8,-46.389
12.8,-4.8,-48.5912
13.6,-4.8,-52.3312
14.4,-4.8,-54.6923
15.2,-4.8,-49.999
16,-4.8,-54.8094
16.8,-4.8,-54.1391
17.6,-4.8,-56.6465
18.4,-4.8,-57.8978
19.2,-4.8,-53.7975
20,-4.8,-51.9069
-20,-4,-43.8996
-19.2,-4,-33.1759
-18.4,-4,-47.482
-17.6,-4,-39.6821
-16.8,-4,-40.0868
-16,-4,-37.9747
-15.2,-4,-34.9542
-14.4,-4,-40.8299
-13.6,-4,-36.4597
-12.8,-4,-28.5124
-12,-4,-37.6944
-11.2,-4,-33.9307
-10.4,-4,-31.1113
-9.6,-4,-32.068
-8.8,-4,-38.6281
-8,-4,-48.766
-7.2,-4,-39.5182
-6.4,-4,-37.4502
-5.6,-4,-34.8682
-4.8,-4,-32.9728
-4,-4,-34.955
-3.2,-4,-33.1819
-2.4,-4,-34.1112
-1.6,-4,-35.1079
-0.8,-4,-37.6989
0,-4,-41.2276
0.8,-4,-44.5515
1.6,-4,-45.4947
2.4,-4,-46.5721
3.2,-4,-41.619
4,-4,-42.919
4.8,-4,-49.4203
5.6,-4,-45.9325
6.4,-4,-48.6022
7.2,-4,-48.5251
8,-4,-44.4552
8.8,-4,-47.3057
9.6,-4,-44.2785
10.4,-4,-49.4486
11.2,-4,-45.2564
12,-4,-42.9511
12.8,-4,-45.1427
13.6,-4,-47.8195
14.4,-4,-48.8533
15.2,-4,-47.5349
16,-4,-51.8109
16.8,-4,-49.5643
17.6,-4,-53.939
18.4,-4,-51.9514
19.2,-4,-53.6669
20,-4,-56.9552
-20,-3.2,-44.5253
-19.2,-3.2,-37.5092
-18.4,-3.2,-41.364
-17.6,-3.2,-40.5667
-16.8,-3.2,-40.0213
-16,-3.2,-39.1966
-15.2,-3.2,-42.415
-14.4,-3.2,-36.4321
-13.6,-3.2,-35.1615
-12.8,-3.2,-42.1245
-12,-3.2,-37.3548
-11.2,-3.2,-31.7996
-10.4,-3.2,-30.6327
-9.6,-3.2,-34.2319
-8.8,-3.2,-38.354
-8,-3.2,-42.6708
-7.2,-3.2,-29.0289
-6.4,-3.2,-34.9799
-5.6,-3.2,-32.9055
-4.8,-3.2,-33.7763
-4,-3.2,-34.6128
-3.2,-3.2,-33.2043
-2.4,-3.2,-32.9678
-1.6,-3.2,-36.3503
-0.8,-3.2,-36.9745
0,-3.2,-43.4594
0.8,-3.2,-49.5757
1.6,-3.2,-43.8386
2.4,-3.2,-48.0195
3.2,-3.2,-43.3545
4,-3.2,-45.4323
4.8,-3.2,-49.3411
5.6,-3.2,-43.4201
6.4,-3.2,-43.8532
7.2,-3.2,-48.208
8,-3.2,-52.8737
8.8,-3.2,-47.4442
9.6,-3.2,-49.6008
10.4,-3.2,-44.6549
11.2,-3.2,-55.4505
12,-3.2,-48.221
12.8,-3.2,-49.9971
13.6,-3.2,-53.2189
14.4,-3.2,-52.1983
15.2,-3.2,-54.879
16,-3.2,-51.9749
16.8,-3.2,-55.3676
17.6,-3.2,-50.5938
18.4,-3.2,-54.9334
19.2,-3.2,-56.3786
20,-3.2,-54.5939
-20,-2.4,-41.79
-19.2,-2.4,-39.251
-18.4,-2.4,-41.5819
-17.6,-2.4,-44.2059
-16.8,-2.4,-36.2213
-16,-2.4,-40.6445
-15.2,-2.4,-42.4767
-14.4,-2.4,-38.0867
-13.6,-2.4,-42.1001
-12.8,-2.4,-41.9574
-12,-2.4,-40.8026
-11.2,-2.4,-37.1162
-10.4,-2.4,-35.5409
-9.6,-2.4,-35.0545
-8.8,-2.4,-37.0419
-8,-2.4,-43.392
-7.2,-2.4,-35.8566
-6.4,-2.4,-38.8537
-5.6,-2.4,-35.3027
-4.8,-2.4,-36.61
-4,-2.4,-35.3904
-3.2,-2.4,-36.7984
-2.4,-2.4,-39.0989
-1.6,-2.4,-34.9889
-0.8,-2.4,-42.8761
0,-2.4,-43.9238
0.8,-2.4,-43.1073
1.6,-2.4,-44.5838
2.4,-2.4,-44.8345
3.2,-2.4,-43.6228
4,-2.4,-37.7708
4.8,-2.4,-41.5507
5.6,-2.4,-41.0308
6.4,-2.4,-43.6132
7.2,-2.4,-44.7999
8,-2.4,-47.4902
8.8,-2.4,-49.847
9.6,-2.4,-44.4553
10.4,-2.4,-48.9041
11.2,-2.4,-45.3842
12,-2.4,-48.7568
12.8,-2.4,-52.9221
13.6,-2.4,-50.526
14.4,-2.4,-52.7186
15.2,-2.4,-54.6027
16,-2.4,-50.7689
16.8,-2.4,-54.8525
17.6,-2.4,-55.7774
18.4,-2.4,-54.3813
19.2,-2.4,-52.5326
20,-2.4,-57.1922
-20,-1.6,-39.9938
-19.2,-1.6,-43.8147
-18.4,-1.6,-42.1574
-17.6,-1.6,-41.865
-16.8,-1.6,-39.1366
-16,-1.6,-43.3061
-15.2,-1.6,-43.4031
-14.4,-1.6,-39.587
-13.6,-1.6,-33.4024
-12.8,-1.6,-35.7423
-12,-1.6,-41.1903
-11.2,-1.6,-36.2439
-10.4,-1.6,-42.784
-9.6,-1.6,-40.9961
-8.8,-1.6,-45.5165
-8,-1.6,-42.0363
-7.2,-1.6,-44.5001
-6.4,-1.6,-41.2333
-5.6,-1.6,-45.4935
-4.8,-1.6,-43.0047
-4,-1.6,-43.3511
-3.2,-1.6,-43.8801
-2.4,-1.6,-44.6658
-1.6,-1.6,-43.3748
-0.8,-1.6,-40.7479
0,-1.6,-42.5358
0.8,-1.6,-46.8925
1.6,-1.6,-44.7489
2.4,-1.6,-46.5909
3.2,-1.6,-47.9465
4,-1.6,-47.6221
4.8,-1.6,-44.4087
5.6,-1.6,-45.3744
6.4,-1.6,-44.5934
7.2,-1.6,-46.8526
8,-1.6,-49.661
8.8,-1.6,-52.498
9.6,-1.6,-47.2689
10.4,-1.6,-50.4611
11.2,-1.6,-51.9072
12,-1.6,-54.0792
12.8,-1.6,-49.9387
13.6,-1.6,-52.4013
14.4,-1.6,-53.8598
15.2,-1.6,-49.5791
16,-1.6,-55.8715
16.8,-1.6,-50.6368
17.6,-1.6,-54.8706
18.4,-1.6,-52.9125
19.2,-1.6,-53.0588
20,-1.6,-51.6733
-20,-0.8,-41.4344
-19.2,-0.8,-37.787
-18.4,-0.8,-39.9282
-17.6,-0.8,-40.8482
-16.8,-0.8,-36.7293
-16,-0.8,-41.507
-15.2,-0.8,-41.5203
-14.4,-0.8,-41.5765
-13.6,-0.8,-33.8133
-12.8,-0.8,-38.1113
-12,-0.8,-40.6647
-11.2,-0.8,-34.4114
-10.4,-0.8,-47.1413
-9.6,-0.8,-45.5692
-8.8,-0.8,-42.0343
-8,-0.8,-48.0901
-7.2,-0.8,-44.8629
-6.4,-0.8,-41.2832
-5.6,-0.8,-44.6715
-4.8,-0.8,-37.2214
-4,-0.8,-44.8081
-3.2,-0.8,-43.5484
-2.4,-0.8,-41.6484
-1.6,-0.8,-44.6763
-0.8,-0.8,-47.0586
0,-0.8,-42.5186
0.8,-0.8,-45.7442
1.6,-0.8,-44.5394
2.4,-0.8,-43.1476
3.2,-0.8,-44.2078
4,-0.8,-42.1018
4.8,-0.8,-51.9438
5.6,-0.8,-46.2095
6.4,-0.8,-47.972
7.2,-0.8,-45.7676
8,-0.8,-52.8158
8.8,-0.8,-54.1443
9.6,-0.8,-52.7385
10.4,-0.8,-53.3047
11.2,-0.8,-60.2421
12,-0.8,-53.4721
12.8,-0.8,-52.7709
13.6,-0.8,-53.4188
14.4,-0.8,-56.69
15.2,-0.8,-61.3409
16,-0.8,-57.5235
16.8,-0.8,-58.6927
17.6,-0.8,-52.0958
18.4,-0.8,-58.3478
19.2,-0.8,-60.3204
20,-0.8,-59.2281
-20,0,-39.2916
-19.2,0,-46.1218
-18.4,0,-43.1885
-17.6,0,-40.9767
-16.8,0,-38.9342
-16,0,-41.9879
-15.2,0,-40.5209
-14.4,0,-37.2546
-13.6,0,-40.2954
-12.8,0,-40.3208
-12,0,-46.4997
-11.2,0,-42.1467
-10.4,0,-43.3412
-9.6,0,-46.434
-8.8,0,-43.7836
-8,0,-45.2885
-7.2,0,-43.7099
-6.4,0,-41.5352
-5.6,0,-40.7069
-4.8,0,-40.1309
-4,0,-40.9497
-3.2,0,-42.8952
-2.4,0,-40.9228
-1.6,0,-38.7492
-0.8,0,-42.3665
0,0,-48.4104
0.8,0,-43.6031
1.6,0,-46.4133
2.4,0,-45.5494
3.2,0,-43.5312
4,0,-50.4908
4.8,0,-46.7734
5.6,0,-47.2615
6.4,0,-46.535
7.2,0,-46.9926
8,0,-54.5004
8.8,0,-47.4802
9.6,0,-51.922
10.4,0,-49.5895
11.2,0,-55.0028
12,0,-53.7948
12.8,0,-53.6284
13.6,0,-61.6619
14.4,0,-52.9463
15.2,0,-55.3442
16,0,-57.8073
16.8,0,-59.3038
17.6,0,-54.6326
18.4,0,-56.8038
19.2,0,-56.6939
20,0,-56.3792
-20,0.8,-40.9075
-19.2,0.8,-40.3538
-18.4,0.8,-38.2858
-17.6,0.8,-42.8831
-16.8,0.8,-40.6342
-16,0.8,-38.9375
-15.2,0.8,-33.9995
-14.4,0.8,-37.7597
-13.6,0.8,-34.6198
-12.8,0.8,-38.5859
-12,0.8,-37.2833
-11.2,0.8,-41.4908
-10.4,0.8,-44.571
-9.6,0.8,-39.3876
-8.8,0.8,-52.3763
-8,0.8,-44.701
-7.2,0.8,-40.3918
-6.4,0.8,-41.8459
-5.6,0.8,-42.4231
-4.8,0.8,-39.7009
-4,0.8,-38.7089
-3.2,0.8,-37.7986
-2.4,0.8,-41.5723
-1.6,0.8,-37.3186
-0.8,0.8,-40.2096
0,0.8,-43.3145
0.8,0.8,-44.4833
1.6,0.8,-43.5182
2.4,0.8,-51.2363
3.2,0.8,-42.8351
4,0.8,-46.6713
4.8,0.8,-53.3464
5.6,0.8,-45.0678
6.4,0.8,-57.9729
7.2,0.8,-49.1398
8,0.8,-48.989
8.8,0.8,-47.8017
9.6,0.8,-53.7117
10.4,0.8,-48.2703
11.2,0.8,-51.1791
12,0.8,-49.1498
12.8,0.8,-57.3595
13.6,0.8,-48.7147
14.4,0.8,-51.8377
15.2,0.8,-54.3814
16,0.8,-54.4205
16.8,0.8,-52.2148
17.6,0.8,-52.0864
18.4,0.8,-56.2722
19.2,0.8,-56.4165
20,0.8,-53.4673
-20,1.6,-41.8568
-19.2,1.6,-41.1059
-18.4,1.6,-41.9688
-17.6,1.6,-40.2103
-16.8,1.6,-40.0931
-16,1.6,-43.5032
-15.2,1.6,-41.8961
-14.4,1.6,-40.9846
-13.6,1.6,-32.127
-12.8,1.6,-34.43
-12,1.6,-38.5923
-11.2,1.6,-42.5245
-10.4,1.6,-42.6924
-9.6,1.6,-41.3622
-8.8,1.6,-49.3373
-8,1.6,-39.1041
-7.2,1.6,-39.9945
-6.4,1.6,-40.8898
-5.6,1.6,-43.0638
-4.8,1.6,-42.5107
-4,1.6,-38.1564
-3.2,1.6,-42.8216
-2.4,1.6,-44.4828
-1.6,1.6,-36.2204
-0.8,1.6,-37.043
0,1.6,-40.9005
0.8,1.6,-41.9435
1.6,1.6,-47.1198
2.4,1.6,-41.895
3.2,1.6,-45.6911
4,1.6,-45.3356
4.8,1.6,-49.2105
5.6,1.6,-47.5619
6.4,1.6,-52.2347
7.2,1.6,-52.2458
8,1.6,-56.3236
8.8,1.6,-48.2766
9.6,1.6,-48.7932
10.4,1.6,-48.6817
11.2,1.6,-53.6333
12,1.6,-53.8148
12.8,1.6,-50.2671
13.6,1.6,-54.5608
14.4,1.6,-58.223
15.2,1.6,-52.432
16,1.6,-57.2017
16.8,1.6,-57.9987
17.6,1.6,-58.9651
18.4,1.6,-57.9194
19.2,1.6,-52.9639
20,1.6,-58.9385
-20,2.4,-39.6515
-19.2,2.4,-38.6479
-18.4,2.4,-38.7686
-17.6,2.4,-43.0408
-16.8,2.4,-37.9633
-16,2.4,-35.8352
-15.2,2.4,-39.0648
-14.4,2.4,-31.7442
-13.6,2.4,-33.6391
-12.8,2.4,-34.8755
-12,2.4,-34.7951
-11.2,2.4,-41.0218
-10.4,2.4,-36.3067
-9.6,2.4,-37.5302
-8.8,2.4,-43.2187
-8,2.4,-36.6946
-7.2,2.4,-47.0742
-6.4,2.4,-38.1088
-5.6,2.4,-36.143
-4.8,2.4,-34.3983
-4,2.4,-35.2855
-3.2,2.4,-40.0827
-2.4,2.4,-39.4409
-1.6,2.4,-41.4373
-0.8,2.4,-41.9715
0,2.4,-44.2507
0.8,2.4,-40.8815
1.6,2.4,-43.8528
2.4,2.4,-42.2163
3.2,2.4,-48.4878
4,2.4,-48.4278
4.8,2.4,-45.8477
5.6,2.4,-52.5341
6.4,2.4,-53.6155
7.2,2.4,-46.5467
8,2.4,-54.2049
8.8,2.4,-51.2635
9.6,2.4,-50.8626
10.4,2.4,-49.606
11.2,2.4,-54.5998
12,2.4,-57.4487
12.8,2.4,-48.8095
13.6,2.4,-60.8564
14.4,2.4,-61.7692
15.2,2.4,-54.0947
16,2.4,-54.869
16.8,2.4,-54.4622
17.6,2.4,-51.8417
18.4,2.4,-57.0297
19.2,2.4,-55.4998
20,2.4,-51.8887
-20,3.2,-40.3512
-19.2,3.2,-43.4857
-18.4,3.2,-37.353
-17.6,3.2,-39.6504
-16.8,3.2,-41.4193
-16,3.2,-33.4987
-15.2,3.2,-35.1201
-14.4,3.2,-31.8816
-13.6,3.2,-32.3427
-12.8,3.2,-32.9035
-12,3.2,-34.2811
-11.2,3.2,-33.596
-10.4,3.2,-42.4939
-9.6,3.2,-35.9715
-8.8,3.2,-37.841
-8,3.2,-35.6268
-7.2,3.2,-40.8701
-6.4,3.2,-27.8759
-5.6,3.2,-34.8599
-4.8,3.2,-40.5638
-4,3.2,-30.9867
-3.2,3.2,-38.3826
-2.4,3.2,-38.4764
-1.6,3.2,-40.6848
-0.8,3.2,-37.8502
0,3.2,-41.89
0.8,3.2,-31.3598
1.6,3.2,-44.6262
2.4,3.2,-45.9281
3.2,3.2,-39.811
4,3.2,-46.1044
4.8,3.2,-51.6804
5.6,3.2,-35.1203
6.4,3.2,-44.6966
7.2,3.2,-50.1669
8,3.2,-49.9943
8.8,3.2,-51.9489
9.6,3.2,-50.3243
10.4,3.2,-47.0691
11.2,3.2,-48.9461
12,3.2,-52.8502
12.8,3.2,-55.4454
13.6,3.2,-51.1805
14.4,3.2,-49.9626
15.2,3.2,-48.8272
16,3.2,-53.6467
16.8,3.2,-51.2586
17.6,3.2,-50.9747
18.4,3.2,-50.2314
19.2,3.2,-51.4682
20,3.2,-50.1719
-20,4,-39.4579
-19.2,4,-40.9893
-18.4,4,-35.3038
-17.6,4,-35.621
-16.8,4,-34.833
-16,4,-34.735
-15.2,4,-33.2352
-14.4,4,-37.0915
-13.6,4,-37.459
-12.8,4,-31.4493
-12,4,-31.9093
-11.2,4,-34.4039
-10.4,4,-37.9187
-9.6,4,-32.7407
-8.8,4,-33.2185
-8,4,-31.2599
-7.2,4,-31.3705
-6.4,4,-35.8364
-5.6,4,-33.9593
-4.8,4,-33.1848
-4,4,-34.0683
-3.2,4,-44.3654
-2.4,4,-42.5099
-1.6,4,-40.9184
-0.8,4,-44.4055
0,4,-47.0287
0.8,4,-45.6849
1.6,4,-50.6524
2.4,4,-46.0681
3.2,4,-42.9536
4,4,-47.3542
4.8,4,-43.3076
5.6,4,-47.7579
6.4,4,-50.7589
7.2,4,-40.6
8,4,-56.7395
8.8,4,-52.5127
9.6,4,-52.2772
10.4,4,-55.4902
11.2,4,-51.9466
12,4,-54.0637
12.8,4,-56.7426
13.6,4,-55.9421
14.4,4,-54.2579
15.2,4,-57.0111
16,4,-55.0669
16.8,4,-52.8666
17.6,4,-53.307
18.4,4,-51.4841
19.2,4,-49.7475
20,4,-50.9845
-20,4.8,-38.9673
-19.2,4.8,-38.7525
-18.4,4.8,-38.5038
-17.6,4.8,-35.4058
-16.8,4.8,-36.9816
-16,4.8,-36.2679
-15.2,4.8,-33.9427
-14.4,4.8,-33.0152
-13.6,4.8,-39.1896
-12.8,4.8,-35.2862
-12,4.8,-31.9097
-11.2,4.8,-29.4398
-10.4,4.8,-31.9165
-9.6,4.8,-28.2787
-8.8,4.8,-30.391
-8,4.8,-33.6965
-7.2,4.8,-34.2598
-6.4,4.8,-32.0608
-5.6,4.8,-35.6686
-4.8,4.8,-33.3671
-4,4.8,-38.5462
-3.2,4.8,-35.4635
-2.4,4.8,-36.801
-1.6,4.8,-47.992
-0.8,4.8,-41.1732
0,4.8,-42.6332
0.8,4.8,-46.5052
1.6,4.8,-44.8017
2.4,4.8,-47.4225
3.2,4.8,-44.0717
4,4.8,-46.3482
4.8,4.8,-43.8433
5.6,4.8,-44.112
6.4,4.8,-49.1841
7.2,4.8,-45.6483
8,4.8,-51.0549
8.8,4.8,-55.5766
9.6,4.8,-52.3486
10.4,4.8,-50.0921
11.2,4.8,-54.2052
12,4.8,-54.9944
12.8,4.8,-46.3302
13.6,4.8,-47.2834
14.4,4.8,-49.5984
15.2,4.8,-49.5017
16,4.8,-52.9502
16.8,4.8,-51.9205
17.6,4.8,-49.4811
18.4,4.8,-49.4979
19.2,4.8,-49.0862
20,4.8,-49.0655
-20,5.6,-35.8959
-19.2,5.6,-37.3739
-18.4,5.6,-40.5772
-17.6,5.6,-40.2302
-16.8,5.6,-29.9406
-16,5.6,-37.2462
-15.2,5.6,-34.6521
-14.4,5.6,-35.0562
-13.6,5.6,-37.8812
-12.8,5.6,-36.9923
-12,5.6,-28.4965
-11.2,5.6,-29.2589
-10.4,5.6,-37.2304
-9.6,5.6,-37.9784
-8.8,5.6,-35.0167
-8,5.6,-39.8044
-7.2,5.6,-35.6904
-6.4,5.6,-37.013
-5.6,5.6,-39.8225
-4.8,5.6,-40.7336
-4,5.6,-48.4311
-3.2,5.6,-44.1811
-2.4,5.6,-44.9555
-1.6,5.6,-46.0413
-0.8,5.6,-43.1405
0,5.6,-43.9158
0.8,5.6,-47.5439
1.6,5.6,-45.6414
2.4,5.6,-48.9597
3.2,5.6,-45.3776
4,5.6,-47.3535
4.8,5.6,-49.1061
5.6,5.6,-50.1132
6.4,5.6,-48.7823
7.2,5.6,-49.3336
8,5.6,-47.864
8.8,5.6,-59.6043
9.6,5.6,-57.1497
10.4,5.6,-54.6095
11.2,5.6,-57.2176
12,5.6,-51.3114
12.8,5.6,-52.5018
13.6,5.6,-53.6875
14.4,5.6,-54.2807
15.2,5.6,-53.3088
16,5.6,-52.0124
16.8,5.6,-50.6544
17.6,5.6,-47.1506
18.4,5.6,-47.3187
19.2,5.6,-48.4879
20,5.6,-53.9367
-20,6.4,-42.6394
-19.2,6.4,-39.704
-18.4,6.4,-37.3793
-17.6,6.4,-38.9409
-16.8,6.4,-32.4536
-16,6.4,-36.7984
-15.2,6.4,-33.0886
-14.4,6.4,-34.5689
-13.6,6.4,-31.2962
-12.8,6.4,-40.2069
-12,6.4,-36.0252
-11.2,6.4,-27.0676
-10.4,6.4,-43.4192
-9.6,6.4,-42.3576
-8.8,6.4,-38.055
-8,6.4,-34.9038
-7.2,6.4,-38.1635
-6.4,6.4,-44.3575
-5.6,6.4,-35.8576
-4.8,6.4,-40.0785
-4,6.4,-48.0637
-3.2,6.4,-45.3573
-2.4,6.4,-46.2871
-1.6,6.4,-40.1963
-0.8,6.4,-44.4756
0,6.4,-41.4685
0.8,6.4,-41.8989
1.6,6.4,-47.5859
2.4,6.4,-54.2539
3.2,6.4,-48.1215
4,6.4,-48.266
4.8,6.4,-45.5444
5.6,6.4,-54.8582
6.4,6.4,-49.1144
7.2,6.4,-57.2029
8,6.4,-54.3041
8.8,6.4,-49.2212
9.6,6.4,-49.1572
10.4,6.4,-53.1956
11.2,6.4,-48.1675
12,6.4,-54.8669
12.8,6.4,-51.0026
13.6,6.4,-56.3179
14.4,6.4,-57.1658
15.2,6.4,-50.7148
16,6.4,-54.8975
16.8,6.4,-55.7845
17.6,6.4,-52.7798
18.4,6.4,-48.6004
19.2,6.4,-49.4428
20,6.4,-50.6409
-20,7.2,-38.0083
-19.2,7.2,-39.6855
-18.4,7.2,-36.5378
-17.6,7.2,-40.3274
-16.8,7.2,-39.5831
-16,7.2,-39.0052
-15.2,7.2,-40.4831
-14.4,7.2,-38.2965
-13.6,7.2,-34.9384
-12.8,7.2,-32.1984
-12,7.2,-33.7284
-11.2,7.2,-31.1334
-10.4,7.2,-40.3078
-9.6,7.2,-42.8692
-8.8,7.2,-39.7357
-8,7.2,-47.9311
-7.2,7.2,-39.8524
-6.4,7.2,-38.5555
-5.6,7.2,-38.6008
-4.8,7.2,-41.3111
-4,7.2,-44.1465
-3.2,7.2,-46.1327
-2.4,7.2,-39.4911
-1.6,7.2,-43.3972
-0.8,7.2,-41.2164
0,7.2,-47.3338
0.8,7.2,-44.4205
1.6,7.2,-43.1978
2.4,7.2,-48.1582
3.2,7.2,-48.3022
4,7.2,-52.3841
4.8,7.2,-45.2401
5.6,7.2,-51.879
6.4,7.2,-46.8668
7.2,7.2,-48.8903
8,7.2,-54.8768
8.8,7.2,-46.4058
9.6,7.2,-47.9946
10.4,7.2,-60.4322
11.2,7.2,-48.6023
12,7.2,-49.6571
12.8,7.2,-56.1598
13.6,7.2,-52.7252
14.4,7.2,-50.7563
15.2,7.2,-51.1151
16,7.2,-53.7969
16.8,7.2,-50.2543
17.6,7.2,-51.6553
18.4,7.2,-54.8777
19.2,7.2,-53.7398
20,7.2,-53.283
-20,8,-35.4738
-19.2,8,-34.2257
-18.4,8,-37.7426
-17.6,8,-35.6692
-16.8,8,-30.5123
-16,8,-39.525
-15.2,8,-32.823
-14.4,8,-35.1363
-13.6,8,-31.736
-12.8,8,-36.9955
-12,8,-32.141
-11.2,8,-34.7109
-10.4,8,-39.8745
-9.6,8,-37.3219
-8.8,8,-37.4028
-8,8,-45.3723
-7.2,8,-41.375
-6.4,8,-42.7162
-5.6,8,-42.9382
-4.8,8,-39.8224
-4,8,-37.9793
-3.2,8,-37.9996
-2.4,8,-41.6362
-1.6,8,-43.2885
-0.8,8,-43.17
0,8,-41.9312
0.8,8,-41.7544
1.6,8,-52.1812
2.4,8,-43.7306
3.2,8,-49.3316
4,8,-46.4147
4.8,8,-47.0891
5.6,8,-46.3914
6.4,8,-53.6733
7.2,8,-59.3237
8,8,-46.9152
8.8,8,-49.9841
9.6,8,-52.7838
10.4,8,-51.8098
11.2,8,-49.9468
12,8,-47.8088
12.8,8,-48.2854
13.6,8,-55.0122
14.4,8,-55.265
15.2,8,-46.8761
16,8,-56.9753
16.8,8,-50.8096
17.6,8,-48.9597
18.4,8,-53.8036
19.2,8,-54.8281
20,8,-56.1204
-20,8.8,-33.6339
-19.2,8.8,-33.7816
-18.4,8.8,-32.4199
-17.6,8.8,-32.6777
-16.8,8.8,-34.5075
-16,8.8,-34.7927
-15.2,8.8,-36.9493
-14.4,8.8,-32.4166
-13.6,8.8,-36.342
-12.8,8.8,-36.9214
-12,8.8,-39.2035
-11.2,8.8,-39.4038
-10.4,8.8,-42.4397
-9.6,8.8,-38.5017
-8.8,8.8,-41.2465
-8,8.8,-40.1418
-7.2,8.8,-40.8243
-6.4,8.8,-38.3606
-5.6,8.8,-43.9779
-4.8,8.8,-37.3784
-4,8.8,-44.0277
-3.2,8.8,-44.1182
-2.4,8.8,-39.411
-1.6,8.8,-39.2376
-0.8,8.8,-40.2405
0,8.8,-46.7876
0.8,8.8,-46.2519
1.6,8.8,-46.4521
2.4,8.8,-48.611
3.2,8.8,-55.4404
4,8.8,-51.8246
4.8,8.8,-49.7566
5.6,8.8,-51.6091
6.4,8.8,-47.4683
7.2,8.8,-48.3392
8,8.8,-47.7946
8.8,8.8,-47.6599
9.6,8.8,-55.082
10.4,8.8,-49.9309
11.2,8.8,-53.1004
12,8.8,-56.5397
12.8,8.8,-52.3574
13.6,8.8,-51.8344
14.4,8.8,-56.0625
15.2,8.8,-52.4903
16,8.8,-51.0253
16.8,8.8,-53.5388
17.6,8.8,-57.0602
18.4,8.8,-52.3849
19.2,8.8,-53.527
20,8.8,-50.0579
-20,9.6,-33.8287
-19.2,9.6,-33.5194
-18.4,9.6,-31.312
-17.6,9.6,-28.5681
-16.8,9.6,-40.8569
-16,9.6,-31.5121
-15.2,9.6,-31.2231
-14.4,9.6,-36.5261
-13.6,9.6,-35.4857
-12.8,9.6,-37.3521
-12,9.6,-36.7207
-11.2,9.6,-40.5044
-10.4,9.6,-42.908
-9.6,9.6,-38.172
-8.8,9.6,-37.7079
-8,9.6,-39.7631
-7.2,9.6,-39.1511
-6.4,9.6,-42.6643
-5.6,9.6,-43.7493
-4.8,9.6,-45.8775
-4,9.6,-44.2685
-3.2,9.6,-42.6041
-2.4,9.6,-43.5957
-1.6,9.6,-39.0625
-0.8,9.6,-39.5192
0,9.6,-43.9894
0.8,9.6,-41.2447
1.6,9.6,-48.2787
2.4,9.6,-46.5153
3.2,9.6,-46.0689
4,9.6,-46.9566
4.8,9.6,-45.9229
5.6,9.6,-46.7245
6.4,9.6,-56.4071
7.2,9.6,-57.9
8,9.6,-51.2038
8.8,9.6,-53.7884
9.6,9.6,-49.7081
10.4,9.6,-57.1473
11.2,9.6,-54.2162
12,9.6,-55.6566
12.8,9.6,-58.3815
13.6,9.6,-58.3137
14.4,9.6,-54.9042
15.2,9.6,-54.1588
16,9.6,-53.3559
16.8,9.6,-51.7871
17.6,9.6,-50.3811
18.4,9.6,-61.541
19.2,9.6,-52.6289
20,9.6,-50.9187
-20,10.4,-27.8578
-19.2,10.4,-31.4538
-18.4,10.4,-29.2674
-17.6,10.4,-28.7938
-16.8,10.4,-36.11
-16,10.4,-31.4932
-15.2,10.4,-29.173
-14.4,10.4,-33.8666
-13.6,10.4,-36.9428
-12.8,10.4,-38.3879
-12,10.4,-37.1674
-11.2,10.4,-39.9766
-10.4,10.4,-38.2248
-9.6,10.4,-41.9196
-8.8,10.4,-38.053
-8,10.4,-45.3391
-7.2,10.4,-38.8669
-6.4,10.4,-40.9126
-5.6,10.4,-39.3583
-4.8,10.4,-43.1792
-4,10.4,-39.0613
-3.2,10.4,-42.3113
-2.4,10.4,-41.4773
-1.6,10.4,-40.8934
