_u,_v,dB(NearETotal)
11.2,-17.6,-22.443
12,-17.6,-28.4067
12.8,-17.6,-22.9441
13.6,-17.6,-26.7068
14.4,-17.6,-17.8296
15.2,-17.6,-23.4485
16,-17.6,-24.8443
16.8,-17.6,-22.9487
17.6,-17.6,-26.9489
18.4,-17.6,-29.5304
19.2,-17.6,-34.0813
20,-17.6,-26.1582
-20,-16.8,-12.4458
-19.2,-16.8,-11.5854
-18.4,-16.8,-12.2927
-17.6,-16.8,-12.9128
-16.8,-16.8,-7.57043
-16,-16.8,-4.69878
-15.2,-16.8,-10.9874
-14.4,-16.8,-6.95523
-13.6,-16.8,-10.6847
-12.8,-16.8,-10.5271
-12,-16.8,-16.5672
-11.2,-16.8,-17.295
-10.4,-16.8,-14.7596
-9.6,-16.8,-15.3229
-8.8,-16.8,-16.6616
-8,-16.8,-13.0906
-7.2,-16.8,-13.808
-6.4,-16.8,-17.4454
-5.6,-16.8,-18.0707
-4.8,-16.8,-15.389
-4,-16.8,-11.2939
-3.2,-16.8,-13.1824
-2.4,-16.8,-12.8223
-1.6,-16.8,-18.6192
-0.8,-16.8,-20.1112
0,-16.8,-11.723
0.8,-16.8,-23.946
1.6,-16.8,-22.9081
2.4,-16.8,-20.4995
3.2,-16.8,-18.7536
4,-16.8,-25.57
4.8,-16.8,-26.4845
5.6,-16.8,-27.182
6.4,-16.8,-17.8585
7.2,-16.8,-24.1088
8,-16.8,-24.9973
8.8,-16.8,-25.3715
9.6,-16.8,-28.4231
10.4,-16.8,-24.3037
11.2,-16.8,-19.3554
12,-16.8,-19.329
12.8,-16.8,-25.106
13.6,-16.8,-21.6233
14.4,-16.8,-20.4574
15.2,-16.8,-20.8482
16,-16.8,-26.7557
16.8,-16.8,-24.592
17.6,-16.8,-28.1771
18.4,-16.8,-27.2174
19.2,-16.8,-24.4835
20,-16.8,-22.5352
-20,-16,-7.12634
-19.2,-16,-14.1496
-18.4,-16,-8.50362
-17.6,-16,-14.402
-16.8,-16,-11.1568
-16,-16,-11.1364
-15.2,-16,-8.5712
-14.4,-16,-7.34754
-13.6,-16,-11.4336
-12.8,-16,-12.6989
-12,-16,-17.9325
-11.2,-16,-17.3275
-10.4,-16,-14.5813
-9.6,-16,-19.1321
-8.8,-16,-17.8707
-8,-16,-11.8904
-7.2,-16,-14.3793
-6.4,-16,-19.3745
-5.6,-16,-16.6633
-4.8,-16,-8.99026
-4,-16,-9.57565
-3.2,-16,-14.909
-2.4,-16,-17.4125
-1.6,-16,-16.9592
-0.8,-16,-21.6158
0,-16,-21.687
0.8,-16,-16.8863
1.6,-16,-16.2753
2.4,-16,-19.6719
3.2,-16,-20.2248
4,-16,-20.1714
4.8,-16,-19.0914
5.6,-16,-25.9928
6.4,-16,-23.4179
7.2,-16,-18.7107
8,-16,-25.9586
8.8,-16,-21.8102
9.6,-16,-19.9113
10.4,-16,-18.4388
11.2,-16,-16.9036
12,-16,-19.0969
12.8,-16,-22.5081
13.6,-16,-23.5411
14.4,-16,-22.4926
15.2,-16,-36.344
16,-16,-28.1088
16.8,-16,-25.7461
17.6,-16,-23.4617
18.4,-16,-25.9938
19.2,-16,-27.8083
20,-16,-33.1849
-20,-15.2,-11.9231
-19.2,-15.2,-16.5505
-18.4,-15.2,-15.0227
-17.6,-15.2,-12.6213
-16.8,-15.2,-6.82273
-16,-15.2,-13.8543
-15.2,-15.2,-10.2152
-14.4,-15.2,-9.84614
-13.6,-15.2,-10.9392
-12.8,-15.2,-16.0128
-12,-15.2,-15.2736
-11.2,-15.2,-14.1883
-10.4,-15.2,-15.2775
-9.6,-15.2,-12.1049
-8.8,-15.2,-12.7847
-8,-15.2,-14.6828
-7.2,-15.2,-14.5707
-6.4,-15.2,-14.6272
-5.6,-15.2,-11.3889
-4.8,-15.2,-9.1702
-4,-15.2,-8.52639
-3.2,-15.2,-12.8451
-2.4,-15.2,-19.6021
-1.6,-15.2,-17.0501
-0.8,-15.2,-21.9724
0,-15.2,-19.7452
0.8,-15.2,-21.8769
1.6,-15.2,-20.2434
2.4,-15.2,-21.1112
3.2,-15.2,-17.3941
4,-15.2,-18.5647
4.8,-15.2,-20.5562
5.6,-15.2,-20.9351
6.4,-15.2,-16.9391
7.2,-15.2,-21.0628
8,-15.2,-21.1597
8.8,-15.2,-20.9961
9.6,-15.2,-21.5348
10.4,-15.2,-23.8394
11.2,-15.2,-19.1879
12,-15.2,-19.729
12.8,-15.2,-20.8611
13.6,-15.2,-23.7113
14.4,-15.2,-27.7959
15.2,-15.2,-24.6431
16,-15.2,-20.9911
16.8,-15.2,-22.3571
17.6,-15.2,-35.917
18.4,-15.2,-22.854
19.2,-15.2,-24.5106
20,-15.2,-21.7429
-20,-14.4,-17.1403
-19.2,-14.4,-10.5742
-18.4,-14.4,-19.1984
-17.6,-14.4,-13.4431
-16.8,-14.4,-12.8806
-16,-14.4,-11.2424
-15.2,-14.4,-10.816
-14.4,-14.4,-13.9248
-13.6,-14.4,-13.4094
-12.8,-14.4,-14.1144
-12,-14.4,-16.3371
-11.2,-14.4,-18.6333
-10.4,-14.4,-16.2658
-9.6,-14.4,-13.7852
-8.8,-14.4,-19.7625
-8,-14.4,-14.3724
-7.2,-14.4,-18.7068
-6.4,-14.4,-13.451
-5.6,-14.4,-8.78268
-4.8,-14.4,-10.7219
-4,-14.4,-12.0681
-3.2,-14.4,-15.5908
-2.4,-14.4,-21.0703
-1.6,-14.4,-18.8544
-0.8,-14.4,-21.0529
0,-14.4,-25.0545
0.8,-14.4,-16.2486
1.6,-14.4,-17.0599
2.4,-14.4,-19.9185
3.2,-14.4,-20.7961
