_u,_v,dB(NearETotal)
-2,-13.5,-11.0186
-1.5,-13.5,-11.1787
-1,-13.5,-10.0416
-0.5,-13.5,-9.91616
0,-13.5,-11.3984
0.5,-13.5,-16.3061
1,-13.5,-14.9644
1.5,-13.5,-16.3837
2,-13.5,-13.3323
2.5,-13.5,-6.49854
3,-13.5,-7.61895
3.5,-13.5,-7.76422
4,-13.5,-5.62951
4.5,-13.5,-5.22347
5,-13.5,-6.72984
5.5,-13.5,-11.8183
6,-13.5,-13.9831
6.5,-13.5,-15.8437
7,-13.5,-13.3696
7.5,-13.5,-11.4302
8,-13.5,-11.8106
8.5,-13.5,-6.87025
9,-13.5,-6.67249
9.5,-13.5,-6.25639
10,-13.5,-6.01127
10.5,-13.5,-5.39706
11,-13.5,-8.0351
11.5,-13.5,-7.22625
12,-13.5,-7.01296
12.5,-13.5,-7.70745
13,-13.5,-10.5778
13.5,-13.5,-10.8851
14,-13.5,-11.9643
14.5,-13.5,-13.826
15,-13.5,-16.7638
-15,-13,-13.1898
-14.5,-13,-11.8557
-14,-13,-11.3541
-13.5,-13,-16.8113
-13,-13,-15.9953
-12.5,-13,-11.1682
-12,-13,-15.0798
-11.5,-13,-11.3461
-11,-13,-17.5405
-10.5,-13,-13.6471
-10,-13,-8.34168
-9.5,-13,-14.7057
-9,-13,-14.3331
-8.5,-13,-17.2949
-8,-13,-16.353
-7.5,-13,-8.48407
-7,-13,-10.7112
-6.5,-13,-14.308
-6,-13,-14.2376
-5.5,-13,-5.66512
-5,-13,-15.9369
-4.5,-13,-9.85735
-4,-13,-13.7268
-3.5,-13,-16.8646
-3,-13,-10.1164
-2.5,-13,-16.1108
-2,-13,-12.8022
-1.5,-13,-12.6593
-1,-13,-12.6076
-0.5,-13,-10.3234
0,-13,-10.5462
0.5,-13,-12.0511
1,-13,-7.83594
1.5,-13,-8.09311
2,-13,-10.0701
2.5,-13,-7.21363
3,-13,-9.94745
3.5,-13,-10.6989
4,-13,-5.65591
4.5,-13,-6.04497
