CURVE2 (cv_her_20.dta )
Vf (V vs. Ref.)	Im (A)
1.0202e+0	5.51825e-4
1.01011e+0	5.15127e-4
1.00011e+0	4.79962e-4
9.90111e-1	4.45989e-4
9.80143e-1	4.15103e-4
9.70176e-1	3.85503e-4
9.60149e-1	3.59366e-4
9.50108e-1	3.33097e-4
9.40122e-1	3.08681e-4
9.30145e-1	2.85288e-4
9.20185e-1	2.62842e-4
9.101e-1	2.41194e-4
9.00115e-1	2.20403e-4
8.90132e-1	2.00702e-4
8.8019e-1	1.81362e-4
8.70203e-1	1.63026e-4
8.60117e-1	1.45649e-4
8.50091e-1	1.28939e-4
8.40134e-1	1.13283e-4
8.3011e-1	9.86695e-5
8.20219e-1	8.48226e-5
8.10057e-1	7.22848e-5
8.00081e-1	6.0612e-5
7.90119e-1	5.01202e-5
7.80123e-1	4.06895e-5
7.70114e-1	3.22708e-5
7.60056e-1	2.49249e-5
7.50067e-1	1.85642e-5
7.40146e-1	1.31605e-5
7.30131e-1	8.6862e-6
7.20127e-1	5.00386e-6
7.10029e-1	2.12898e-6
7.00127e-1	-1.10615e-7
6.90214e-1	-1.09448e-6
6.80125e-1	-2.88707e-6
6.70153e-1	-3.72054e-6
6.60017e-1	-4.29798e-6
6.50071e-1	-4.71942e-6
6.40112e-1	-5.08146e-6
6.30072e-1	-5.35168e-6
6.20054e-1	-5.61923e-6
6.10104e-1	-5.91025e-6
6.00031e-1	-6.17524e-6
5.90042e-1	-6.44089e-6
5.80057e-1	-6.72326e-6
5.70046e-1	-7.01168e-6
5.60138e-1	-7.31137e-6
5.50078e-1	-7.61799e-6
5.40081e-1	-7.88362e-6
5.30121e-1	-8.16691e-6
5.20113e-1	-8.45372e-6
5.10196e-1	-8.73355e-6
5.00077e-1	-9.00294e-6
4.90108e-1	-9.3122e-6
4.80074e-1	-9.56822e-6
4.70116e-1	-9.87044e-6
4.60156e-1	-1.01861e-5
4.50037e-1	-1.05151e-5
4.40102e-1	-1.08686e-5
4.30125e-1	-1.12282e-5
4.20141e-1	-1.1588e-5
4.10137e-1	-1.19615e-5
4.00069e-1	-1.23543e-5
3.90028e-1	-1.27541e-5
3.80088e-1	-1.3154e-5
3.70139e-1	-1.35848e-5
3.60128e-1	-1.40526e-5
3.50096e-1	-1.4502e-5
3.40128e-1	-1.50036e-5
3.30165e-1	-1.54837e-5
3.20145e-1	-1.60025e-5
3.10148e-1	-1.65404e-5
3.00034e-1	-1.71029e-5
2.90102e-1	-1.76816e-5
2.80084e-1	-1.82846e-5
2.70089e-1	-1.89094e-5
2.60124e-1	-1.95992e-5
2.5001e-1	-2.02726e-5
2.40082e-1	-2.09739e-5
2.30106e-1	-2.17043e-5
2.20126e-1	-2.24799e-5
2.10093e-1	-2.3289e-5
2.00175e-1	-2.4112e-5
1.90076e-1	-2.49821e-5
1.801e-1	-2.5876e-5
1.70075e-1	-2.68456e-5
1.60131e-1	-2.78568e-5
1.50124e-1	-2.89026e-5
1.40086e-1	-2.99648e-5
1.3011e-1	-3.11063e-5
1.20113e-1	-3.23056e-5
1.10144e-1	-3.35759e-5
1.0018e-1	-3.48756e-5
9.00621e-2	-3.62398e-5
8.00996e-2	-3.76532e-5
7.01105e-2	-3.91482e-5
6.01751e-2	-4.0756e-5
5.018e-2	-4.24493e-5
4.00473e-2	-4.42195e-5
3.00676e-2	-4.61154e-5
2.00775e-2	-4.8142e-5
1.01557e-2	-5.03941e-5
6.08922e-5	-5.27968e-5
-9.99588e-3	-5.54978e-5
-1.99744e-2	-5.86168e-5
-2.99947e-2	-6.22563e-5
-3.99405e-2	-6.67573e-5
-4.98846e-2	-7.22841e-5
-5.99536e-2	-7.90938e-5
-6.99683e-2	-8.71959e-5
-7.99342e-2	-9.66162e-5
-8.99135e-2	-1.07252e-4
-9.99438e-2	-1.18897e-4
-1.1003e-1	-1.3161e-4
-1.20005e-1	-1.45233e-4
-1.29873e-1	-1.59917e-4
-1.39892e-1	-1.75919e-4
-1.49903e-1	-1.93284e-4
-1.5999e-1	-2.12229e-4
-1.69991e-1	-2.33027e-4
-1.79948e-1	-2.55889e-4
-1.89962e-1	-2.81326e-4
-1.99914e-1	-3.10183e-4
-2.10069e-1	-3.42543e-4
-2.19987e-1	-3.79495e-4
-2.29983e-1	-4.22306e-4
-2.39962e-1	-4.71875e-4
-2.4993e-1	-5.29697e-4
-2.59929e-1	-5.96838e-4
-2.69986e-1	-6.73883e-4
-2.79959e-1	-7.62323e-4
-2.89948e-1	-8.60476e-4
-2.99967e-1	-9.63833e-4
-3.09926e-1	-1.05963e-3
-3.19969e-1	-1.14046e-3
-3.29921e-1	-1.1931e-3
-3.39954e-1	-1.20958e-3
-3.49875e-1	-1.1822e-3
-3.59874e-1	-1.10349e-3
-3.69964e-1	-9.75961e-4
-3.79995e-1	-8.26014e-4
-3.89962e-1	-6.96281e-4
-3.99903e-1	-6.05923e-4
-4.09956e-1	-5.43137e-4
-4.20001e-1	-5.02656e-4
-4.29919e-1	-4.7442e-4
-4.39948e-1	-4.5389e-4
-4.49906e-1	-4.39356e-4
-4.59893e-1	-4.2269e-4
-4.69988e-1	-4.09002e-4
-4.79979e-1	-4.00916e-4
-4.89902e-1	-3.93293e-4
-4.99928e-1	-3.86435e-4
-5.09905e-1	-3.80551e-4
-5.20058e-1	-3.75284e-4
-5.30029e-1	-3.6975e-4
-5.39972e-1	-3.6438e-4
-5.49921e-1	-3.59133e-4
-5.59902e-1	-3.56199e-4
-5.70013e-1	-3.55283e-4
-5.79969e-1	-3.54288e-4
-5.89923e-1	-3.59766e-4
-5.99932e-1	-3.68428e-4
-6.0995e-1	-3.76379e-4
-6.20062e-1	-3.76553e-4
-6.29972e-1	-3.67916e-4
-6.39901e-1	-3.54122e-4
-6.49923e-1	-3.42754e-4
-6.59926e-1	-3.33076e-4
-6.69925e-1	-3.25068e-4
-6.79965e-1	-3.19346e-4
-6.89878e-1	-3.12978e-4
-6.99895e-1	-3.07153e-4
-7.09934e-1	-3.01452e-4
-7.19921e-1	-2.95107e-4
-7.29985e-1	-2.89892e-4
-7.39904e-1	-2.86222e-4
-7.4993e-1	-2.82256e-4
-7.59893e-1	-2.78655e-4
-7.69877e-1	-2.77075e-4
-7.80002e-1	-2.74052e-4
-7.89994e-1	-2.71842e-4
-7.99946e-1	-2.71151e-4
-8.09932e-1	-2.72205e-4
-8.19993e-1	-2.78318e-4
-8.29996e-1	-2.85052e-4
-8.39992e-1	-3.03491e-4
-8.49918e-1	-3.34774e-4
-8.599e-1	-3.86822e-4
-8.69887e-1	-4.56472e-4
-8.8001e-1	-5.4646e-4
-8.89998e-1	-6.51007e-4
-8.99926e-1	-7.69505e-4
-9.09936e-1	-8.98572e-4
-9.19996e-1	-1.0332e-3
-9.30022e-1	-1.17805e-3
-9.40017e-1	-1.32944e-3
-9.49928e-1	-1.485e-3
-9.59896e-1	-1.64654e-3
-9.69923e-1	-1.81624e-3
-9.80025e-1	-1.99182e-3
-9.8996e-1	-2.1728e-3
-9.9991e-1	-2.36255e-3
-1.00991e+0	-2.55574e-3
-1.0199e+0	-2.75762e-3
-1.03008e+0	-2.96823e-3
-1.04009e+0	-3.18445e-3
-1.05e+0	-3.40657e-3
-1.06e+0	-3.64081e-3
-1.07e+0	-3.87965e-3
-1.07998e+0	-4.12769e-3
-1.08996e+0	-4.38542e-3
-1.09993e+0	-4.64954e-3
-1.10993e+0	-4.92351e-3
-1.11995e+0	-5.20293e-3
-1.12993e+0	-5.48886e-3
-1.13997e+0	-5.78191e-3
-1.15004e+0	-6.0909e-3
-1.15996e+0	-6.39866e-3
-1.16995e+0	-6.71878e-3
-1.1799e+0	-7.04319e-3
-1.18998e+0	-7.37658e-3
-1.19995e+0	-7.71681e-3
-1.20994e+0	-8.05842e-3
-1.21992e+0	-8.40654e-3
-1.22989e+0	-8.75669e-3
-1.24006e+0	-9.11637e-3
-1.25e+0	-9.4864e-3
-1.25999e+0	-9.85394e-3
-1.26997e+0	-1.02296e-2
-1.27996e+0	-1.06128e-2
-1.29005e+0	-1.10031e-2
-1.3e+0	-1.13982e-2
-1.30995e+0	-1.17919e-2
-1.31999e+0	-1.2191e-2
-1.32993e+0	-1.25983e-2
-1.34009e+0	-1.30117e-2
-1.35007e+0	-1.34351e-2
-1.36002e+0	-1.38517e-2
-1.37005e+0	-1.42741e-2
-1.38002e+0	-1.47059e-2
-1.39007e+0	-1.51636e-2
-1.40001e+0	-1.56041e-2
-1.40994e+0	-1.60254e-2
-1.41998e+0	-1.64815e-2
-1.42996e+0	-1.6928e-2
-1.44003e+0	-1.73863e-2
-1.45e+0	-1.78506e-2
-1.45997e+0	-1.82986e-2
-1.46999e+0	-1.87616e-2
-1.47993e+0	-1.92383e-2
-1.48993e+0	-1.97125e-2
-1.49997e+0	-2.01876e-2
-1.50999e+0	-2.06852e-2
-1.51992e+0	-2.11648e-2
-1.52999e+0	-2.16578e-2
-1.53991e+0	-2.2141e-2
-1.55002e+0	-2.26395e-2
-1.56005e+0	-2.3134e-2
-1.56998e+0	-2.36245e-2
-1.57997e+0	-2.41424e-2
-1.58998e+0	-2.46526e-2
-1.60006e+0	-2.51564e-2
-1.61001e+0	-2.56684e-2
-1.62003e+0	-2.62091e-2
-1.62995e+0	-2.67234e-2
-1.64e+0	-2.72301e-2
-1.65008e+0	-2.77534e-2
-1.66011e+0	-2.8292e-2
-1.67006e+0	-2.88275e-2
-1.68003e+0	-2.93697e-2
-1.69004e+0	-2.98993e-2
-1.70005e+0	-3.04462e-2
-1.71006e+0	-3.101e-2
-1.71999e+0	-3.15357e-2
-1.72998e+0	-3.21154e-2
-1.73997e+0	-3.26668e-2
-1.75005e+0	-3.32233e-2
-1.76011e+0	-3.37792e-2
-1.76998e+0	-3.43376e-2
-1.78001e+0	-3.4903e-2
-1.78998e+0	-3.54524e-2
-1.80012e+0	-3.60348e-2
-1.81005e+0	-3.65775e-2
-1.82e+0	-3.71886e-2
-1.83002e+0	-3.77751e-2
-1.84007e+0	-3.83563e-2
-1.85016e+0	-3.89355e-2
-1.86011e+0	-3.95168e-2
-1.87007e+0	-4.01024e-2
-1.88005e+0	-4.07088e-2
-1.89002e+0	-4.1299e-2
-1.90002e+0	-4.18933e-2
-1.91008e+0	-4.2488e-2
-1.92006e+0	-4.31091e-2
-1.93002e+0	-4.36903e-2
-1.94003e+0	-4.42955e-2
-1.95005e+0	-4.49292e-2
-1.96006e+0	-4.55301e-2
-1.97003e+0	-4.61238e-2
-1.97997e+0	-4.67013e-2
-1.98997e+0	-4.7326e-2
-1.99996e+0	-4.79878e-2
-2.01007e+0	-4.85679e-2
-2.02007e+0	-4.92444e-2
-2.03005e+0	-4.98005e-2
-2.04002e+0	-5.03998e-2
-2.04999e+0	-5.10624e-2
-2.06009e+0	-5.17085e-2
-2.07006e+0	-5.22923e-2
-2.08001e+0	-5.2954e-2
-2.08995e+0	-5.35759e-2
-2.10001e+0	-5.41735e-2
-2.11007e+0	-5.48236e-2
-2.12008e+0	-5.53905e-2
-2.13005e+0	-5.60526e-2
-2.14007e+0	-5.66848e-2
-2.15002e+0	-5.72808e-2
-2.16012e+0	-5.79135e-2
-2.17011e+0	-5.85561e-2
-2.18003e+0	-5.92177e-2
-2.19005e+0	-5.98998e-2
-2.20003e+0	-6.05051e-2
-2.21009e+0	-6.11064e-2
-2.22003e+0	-6.17685e-2
-2.23005e+0	-6.24121e-2
-2.24002e+0	-6.30577e-2
-2.25e+0	-6.3673e-2
-2.26012e+0	-6.44033e-2
-2.27004e+0	-6.50476e-2
-2.28003e+0	-6.56728e-2
-2.29e+0	-6.64028e-2
-2.30003e+0	-6.70369e-2
-2.30996e+0	-6.77076e-2
-2.32005e+0	-6.83863e-2
-2.33e+0	-6.8998e-2
-2.33995e+0	-6.96468e-2
-2.34999e+0	-7.03531e-2
-2.35996e+0	-7.09896e-2
-2.37012e+0	-7.16464e-2
-2.38009e+0	-7.23689e-2
-2.39008e+0	-7.29865e-2
-2.40002e+0	-7.3658e-2
-2.41003e+0	-7.43464e-2
-2.42007e+0	-7.50521e-2
-2.43006e+0	-7.56765e-2
-2.44005e+0	-7.64101e-2
-2.45001e+0	-7.70454e-2
-2.45997e+0	-7.76612e-2
-2.47011e+0	-7.83449e-2
-2.48009e+0	-7.90037e-2
-2.49008e+0	-7.97575e-2
-2.50008e+0	-8.03353e-2
-2.51001e+0	-8.11415e-2
-2.5201e+0	-8.18788e-2
-2.53006e+0	-8.24679e-2
-2.54001e+0	-8.31951e-2
-2.55002e+0	-8.37754e-2
-2.5602e+0	-8.45423e-2
-2.57031e+0	-8.53046e-2
-2.58032e+0	-8.5902e-2
-2.59029e+0	-8.65391e-2
-2.60027e+0	-8.7244e-2
-2.61029e+0	-8.80225e-2
-2.6203e+0	-8.86886e-2
-2.6303e+0	-8.93915e-2
-2.64025e+0	-9.00856e-2
-2.65028e+0	-9.08276e-2
-2.66022e+0	-9.14469e-2
-2.6704e+0	-9.21325e-2
-2.68033e+0	-9.28402e-2
-2.6903e+0	-9.34149e-2
-2.70025e+0	-9.4288e-2
-2.71022e+0	-9.491e-2
-2.72023e+0	-9.55484e-2
-2.7303e+0	-9.62682e-2
-2.74028e+0	-9.69879e-2
-2.75029e+0	-9.76381e-2
-2.76027e+0	-9.8316e-2
-2.77028e+0	-9.90413e-2
-2.78032e+0	-9.95802e-2
-2.79027e+0	-1.00513e-1
-2.80023e+0	-1.01146e-1
-2.81022e+0	-1.01874e-1
-2.82019e+0	-1.02593e-1
-2.83032e+0	-1.03253e-1
-2.84026e+0	-1.0399e-1
-2.85027e+0	-1.04764e-1
-2.86025e+0	-1.05399e-1
-2.87024e+0	-1.06081e-1
-2.88033e+0	-1.0676e-1
-2.89033e+0	-1.07558e-1
-2.9003e+0	-1.08203e-1
-2.91031e+0	-1.08838e-1
-2.92027e+0	-1.0961e-1
-2.93032e+0	-1.10363e-1
-2.94032e+0	-1.11032e-1
-2.95026e+0	-1.11614e-1
-2.96028e+0	-1.12478e-1
-2.97025e+0	-1.13233e-1
-2.98037e+0	-1.13825e-1
-2.99032e+0	-1.14638e-1
-3.00026e+0	-1.15325e-1
-2.99033e+0	-1.147e-1
-2.98039e+0	-1.14057e-1
-2.97023e+0	-1.13244e-1
-2.9603e+0	-1.12552e-1
-2.95024e+0	-1.11921e-1
-2.94035e+0	-1.11145e-1
-2.93032e+0	-1.10518e-1
-2.92026e+0	-1.09828e-1
-2.91028e+0	-1.09191e-1
-2.90028e+0	-1.08555e-1
-2.89038e+0	-1.07702e-1
-2.88031e+0	-1.06976e-1
-2.87021e+0	-1.06444e-1
-2.86025e+0	-1.05711e-1
-2.85029e+0	-1.04945e-1
-2.84032e+0	-1.04306e-1
-2.83032e+0	-1.03663e-1
-2.82019e+0	-1.02846e-1
-2.81022e+0	-1.02296e-1
-2.80025e+0	-1.01538e-1
-2.79028e+0	-1.00926e-1
-2.78024e+0	-1.00123e-1
-2.77022e+0	-9.95325e-2
-2.76028e+0	-9.87378e-2
-2.75031e+0	-9.8147e-2
-2.74029e+0	-9.74347e-2
-2.73033e+0	-9.66969e-2
-2.72025e+0	-9.60551e-2
-2.71029e+0	-9.5256e-2
-2.70027e+0	-9.46622e-2
-2.69024e+0	-9.38839e-2
-2.68028e+0	-9.31487e-2
-2.67037e+0	-9.24779e-2
-2.66028e+0	-9.18966e-2
-2.65028e+0	-9.11538e-2
-2.6403e+0	-9.05568e-2
-2.63028e+0	-8.98246e-2
-2.62034e+0	-8.90935e-2
-2.61029e+0	-8.84728e-2
-2.60029e+0	-8.77465e-2
-2.59026e+0	-8.70362e-2
-2.58035e+0	-8.63877e-2
-2.57034e+0	-8.5642e-2
-2.56021e+0	-8.50587e-2
-2.55006e+0	-8.4342e-2
-2.54007e+0	-8.36279e-2
-2.5301e+0	-8.29803e-2
-2.52011e+0	-8.23486e-2
-2.51004e+0	-8.15581e-2
-2.50004e+0	-8.0945e-2
-2.49009e+0	-8.02345e-2
-2.48007e+0	-7.95186e-2
-2.47013e+0	-7.88028e-2
-2.45997e+0	-7.81993e-2
-2.45001e+0	-7.74772e-2
-2.44006e+0	-7.67747e-2
-2.43005e+0	-7.61583e-2
-2.42007e+0	-7.54428e-2
-2.41001e+0	-7.47439e-2
-2.40002e+0	-7.4156e-2
-2.39007e+0	-7.34507e-2
-2.38006e+0	-7.27694e-2
-2.3701e+0	-7.20535e-2
-2.35996e+0	-7.14277e-2
-2.35003e+0	-7.08281e-2
-2.34002e+0	-7.01083e-2
-2.33004e+0	-6.93878e-2
-2.32002e+0	-6.8846e-2
-2.30995e+0	-6.81147e-2
-2.29999e+0	-6.74222e-2
-2.29003e+0	-6.67822e-2
-2.28e+0	-6.60755e-2
-2.27005e+0	-6.54528e-2
-2.2601e+0	-6.47659e-2
-2.25005e+0	-6.41164e-2
