CURVE3 (cv_her_20.dta )
Vf (V vs. Ref.)	Im (A)
2.9905e+0	9.55576e-2
2.98054e+0	9.50389e-2
2.97059e+0	9.42293e-2
2.96047e+0	9.3527e-2
2.95049e+0	9.30703e-2
2.94056e+0	9.25089e-2
2.93057e+0	9.16022e-2
2.9206e+0	9.09861e-2
2.91043e+0	9.04298e-2
2.90046e+0	8.96287e-2
2.8905e+0	8.89666e-2
2.88054e+0	8.83288e-2
2.87053e+0	8.79473e-2
2.86049e+0	8.71153e-2
2.85047e+0	8.64838e-2
2.8405e+0	8.58353e-2
2.83058e+0	8.51758e-2
2.82056e+0	8.44833e-2
2.81043e+0	8.35998e-2
2.80043e+0	8.30894e-2
2.7905e+0	8.26717e-2
2.78051e+0	8.17933e-2
2.77053e+0	8.12032e-2
2.76042e+0	8.04741e-2
2.75048e+0	7.98188e-2
2.74049e+0	7.9205e-2
2.73053e+0	7.85746e-2
2.72052e+0	7.80106e-2
2.71043e+0	7.72074e-2
2.70047e+0	7.65616e-2
2.69043e+0	7.59789e-2
2.68052e+0	7.51245e-2
2.67054e+0	7.47179e-2
2.66057e+0	7.39935e-2
2.65042e+0	7.32962e-2
2.64047e+0	7.25693e-2
2.63046e+0	7.20703e-2
2.6205e+0	7.12235e-2
2.61047e+0	7.06074e-2
2.60053e+0	7.00034e-2
2.59056e+0	6.94016e-2
2.58052e+0	6.87572e-2
2.57055e+0	6.84032e-2
2.56059e+0	6.76413e-2
2.55043e+0	6.70146e-2
2.54053e+0	6.63901e-2
2.53043e+0	6.57011e-2
2.52054e+0	6.50954e-2
2.51056e+0	6.45326e-2
2.50048e+0	6.38197e-2
2.4905e+0	6.31429e-2
2.48052e+0	6.24965e-2
2.47054e+0	6.21547e-2
2.46058e+0	6.1547e-2
2.45043e+0	6.09726e-2
2.44046e+0	6.02274e-2
2.4305e+0	5.96965e-2
2.42057e+0	5.9185e-2
2.41052e+0	5.84556e-2
2.40043e+0	5.79547e-2
2.39044e+0	5.73493e-2
2.38045e+0	5.6753e-2
2.37054e+0	5.60796e-2
2.36051e+0	5.55377e-2
2.35033e+0	5.50323e-2
2.34044e+0	5.4336e-2
2.33046e+0	5.37418e-2
2.32047e+0	5.31595e-2
2.31049e+0	5.26162e-2
2.30041e+0	5.19859e-2
2.29047e+0	5.14362e-2
2.28047e+0	5.09094e-2
2.2703e+0	5.0306e-2
2.2603e+0	4.96668e-2
2.25018e+0	4.925e-2
2.24022e+0	4.8613e-2
2.2302e+0	4.80401e-2
2.22028e+0	4.74415e-2
2.21027e+0	4.6876e-2
2.20031e+0	4.62183e-2
2.19027e+0	4.57799e-2
2.18027e+0	4.51879e-2
2.17026e+0	4.46654e-2
2.16029e+0	4.41289e-2
2.15033e+0	4.3552e-2
2.14016e+0	4.29795e-2
2.13021e+0	4.25838e-2
2.12021e+0	4.20662e-2
2.11028e+0	4.14716e-2
2.10024e+0	4.09855e-2
2.09018e+0	4.04298e-2
2.08021e+0	3.98869e-2
2.07023e+0	3.9345e-2
2.06028e+0	3.8838e-2
2.05023e+0	3.84097e-2
2.04015e+0	3.78214e-2
2.03022e+0	3.72728e-2
2.02029e+0	3.6766e-2
2.01024e+0	3.62258e-2
2.00025e+0	3.57452e-2
1.9902e+0	3.51591e-2
1.98021e+0	3.45767e-2
1.97024e+0	3.41453e-2
1.96022e+0	3.35869e-2
1.95023e+0	3.30367e-2
1.94017e+0	3.25638e-2
1.93021e+0	3.20549e-2
1.92022e+0	3.15644e-2
1.91029e+0	3.10896e-2
1.90023e+0	3.05907e-2
1.89011e+0	3.00406e-2
1.88016e+0	2.95647e-2
1.87019e+0	2.9123e-2
1.86026e+0	2.85728e-2
1.85019e+0	2.80762e-2
1.84027e+0	2.75238e-2
1.8302e+0	2.70441e-2
1.82014e+0	2.66382e-2
1.81016e+0	2.61655e-2
1.80016e+0	2.56438e-2
1.79023e+0	2.51473e-2
1.78021e+0	2.46462e-2
1.77018e+0	2.41979e-2
1.76024e+0	2.37445e-2
1.75024e+0	2.32445e-2
1.74025e+0	2.27841e-2
1.73014e+0	2.22946e-2
1.72019e+0	2.18212e-2
1.71024e+0	2.1342e-2
1.70025e+0	2.08926e-2
1.69029e+0	2.04397e-2
1.68024e+0	1.99679e-2
1.67027e+0	1.94984e-2
1.66029e+0	1.90504e-2
1.65026e+0	1.86075e-2
1.64027e+0	1.8158e-2
1.63019e+0	1.77253e-2
1.62016e+0	1.72746e-2
1.61022e+0	1.68418e-2
1.60026e+0	1.64113e-2
1.59025e+0	1.59636e-2
1.58011e+0	1.55186e-2
1.57013e+0	1.51029e-2
1.56018e+0	1.46883e-2
1.55016e+0	1.42759e-2
1.54017e+0	1.38544e-2
1.53012e+0	1.341e-2
1.52019e+0	1.29892e-2
1.51023e+0	1.25734e-2
1.5002e+0	1.21649e-2
1.49022e+0	1.1752e-2
1.48011e+0	1.13475e-2
1.47016e+0	1.09463e-2
1.46019e+0	1.05521e-2
1.45021e+0	1.01584e-2
1.44021e+0	9.77081e-3
1.43013e+0	9.38546e-3
1.42016e+0	9.00622e-3
1.41015e+0	8.63167e-3
1.40016e+0	8.25459e-3
1.39019e+0	7.88607e-3
1.3802e+0	7.52382e-3
1.37013e+0	7.16736e-3
1.36014e+0	6.82273e-3
1.35016e+0	6.47886e-3
1.34017e+0	6.13892e-3
1.33021e+0	5.8086e-3
1.32004e+0	5.4902e-3
1.3101e+0	5.17535e-3
1.30015e+0	4.86731e-3
1.29012e+0	4.56664e-3
1.28019e+0	4.27111e-3
1.27015e+0	3.99109e-3
1.26018e+0	3.71845e-3
1.25015e+0	3.45693e-3
1.24017e+0	3.2039e-3
1.23017e+0	2.96683e-3
1.22009e+0	2.73573e-3
1.21009e+0	2.51835e-3
1.20017e+0	2.31185e-3
1.1902e+0	2.11678e-3
1.18021e+0	1.93607e-3
1.17011e+0	1.76468e-3
1.16013e+0	1.60859e-3
1.15014e+0	1.46294e-3
1.14016e+0	1.3285e-3
1.13011e+0	1.20686e-3
1.12004e+0	1.09747e-3
1.11012e+0	9.98291e-4
1.10014e+0	9.08044e-4
1.09014e+0	8.2743e-4
1.08011e+0	7.54965e-4
1.07007e+0	6.86357e-4
1.06011e+0	6.28446e-4
1.05014e+0	5.75803e-4
1.04009e+0	5.27997e-4
1.0301e+0	4.84963e-4
1.02023e+0	4.4618e-4
1.01008e+0	4.14897e-4
1.00011e+0	3.83586e-4
9.90115e-1	3.54435e-4
9.80146e-1	3.27306e-4
9.70152e-1	3.02118e-4
9.60119e-1	2.79694e-4
9.50119e-1	2.59414e-4
9.40149e-1	2.39299e-4
9.30144e-1	2.20704e-4
9.20195e-1	2.0253e-4
9.10076e-1	1.85488e-4
9.00117e-1	1.70302e-4
8.90104e-1	1.5538e-4
8.80236e-1	1.40839e-4
8.70265e-1	1.27076e-4
8.60101e-1	1.13706e-4
8.50084e-1	1.01333e-4
8.40116e-1	8.95304e-5
8.30122e-1	7.84351e-5
8.20154e-1	6.80202e-5
8.10109e-1	5.83446e-5
8.00073e-1	4.95527e-5
7.90112e-1	4.15183e-5
7.80095e-1	3.41558e-5
7.70163e-1	2.75914e-5
7.6003e-1	2.18073e-5
7.50044e-1	1.66946e-5
7.40112e-1	1.22657e-5
7.30148e-1	8.44148e-6
7.20129e-1	5.28065e-6
7.10039e-1	2.72917e-6
7.00103e-1	7.33095e-7
6.90123e-1	-7.65449e-7
6.80148e-1	-1.09448e-6
6.70112e-1	-2.63226e-6
6.60073e-1	-3.23824e-6
6.50067e-1	-3.62876e-6
6.40081e-1	-3.98558e-6
6.30103e-1	-4.29732e-6
6.20095e-1	-4.58998e-6
6.10114e-1	-4.86459e-6
6.00039e-1	-5.11249e-6
5.90027e-1	-5.3766e-6
5.80135e-1	-5.71899e-6
5.70086e-1	-5.97651e-6
5.60103e-1	-6.27173e-6
5.50058e-1	-6.5734e-6
5.40095e-1	-6.87111e-6
5.30152e-1	-7.19938e-6
5.20086e-1	-7.45932e-6
5.10159e-1	-7.74299e-6
5.00063e-1	-8.02752e-6
4.90063e-1	-8.31943e-6
4.801e-1	-8.61895e-6
4.70154e-1	-8.93683e-6
4.60148e-1	-9.26359e-6
4.50045e-1	-9.58828e-6
4.40098e-1	-9.93886e-6
4.30111e-1	-1.02841e-5
4.20152e-1	-1.06627e-5
4.10151e-1	-1.10283e-5
4.00032e-1	-1.14061e-5
3.90057e-1	-1.18079e-5
3.8014e-1	-1.2227e-5
3.70138e-1	-1.26605e-5
3.60101e-1	-1.31184e-5
3.50054e-1	-1.35797e-5
3.40104e-1	-1.40696e-5
3.30131e-1	-1.45685e-5
3.20165e-1	-1.50912e-5
3.10104e-1	-1.56343e-5
3.00018e-1	-1.6196e-5
2.90071e-1	-1.67822e-5
2.80117e-1	-1.73973e-5
2.70101e-1	-1.80155e-5
2.60117e-1	-1.86707e-5
2.50002e-1	-1.93611e-5
2.40066e-1	-2.00536e-5
2.30115e-1	-2.07923e-5
2.20095e-1	-2.15644e-5
2.10116e-1	-2.23973e-5
2.00247e-1	-2.32475e-5
1.90078e-1	-2.41259e-5
1.80116e-1	-2.50287e-5
1.70095e-1	-2.59766e-5
1.6011e-1	-2.70012e-5
1.5012e-1	-2.80278e-5
1.40058e-1	-2.91111e-5
1.30084e-1	-3.02316e-5
1.2016e-1	-3.14662e-5
1.10158e-1	-3.27424e-5
1.0017e-1	-3.40548e-5
9.00685e-2	-3.54359e-5
8.01102e-2	-3.68882e-5
7.01299e-2	-3.83852e-5
6.01885e-2	-4.00303e-5
5.01575e-2	-4.17092e-5
4.00507e-2	-4.35019e-5
3.00488e-2	-4.54097e-5
2.01008e-2	-4.74728e-5
1.01169e-2	-4.97352e-5
9.07239e-5	-5.21776e-5
