CURVE1 (cv_her_20.dta )
Vf (V vs. Ref.)	Im (A)
2.3591e-1	3.93969e-5
2.25919e-1	3.92222e-6
2.15928e-1	1.82878e-6
2.05947e-1	-1.26366e-6
1.95904e-1	-1.82381e-6
1.85843e-1	-2.58373e-6
1.75956e-1	-3.527e-6
1.65946e-1	-4.62051e-6
1.55955e-1	-5.91453e-6
1.45842e-1	-7.36385e-6
1.35874e-1	-8.96797e-6
1.25917e-1	-1.06997e-5
1.1596e-1	-1.25763e-5
1.05944e-1	-1.45674e-5
9.59392e-2	-1.66427e-5
8.59587e-2	-1.88203e-5
7.59504e-2	-2.10638e-5
6.59805e-2	-2.3385e-5
5.59485e-2	-2.5798e-5
4.59933e-2	-2.82814e-5
3.58997e-2	-3.08826e-5
2.58759e-2	-3.35497e-5
1.59201e-2	-3.63525e-5
5.84068e-3	-3.93634e-5
-4.17584e-3	-4.25741e-5
-1.41705e-2	-4.61031e-5
-2.41446e-2	-5.01437e-5
-3.41265e-2	-5.48532e-5
-4.41298e-2	-6.04716e-5
-5.40847e-2	-6.71378e-5
-6.41607e-2	-7.48562e-5
-7.41289e-2	-8.36425e-5
-8.41575e-2	-9.34564e-5
-9.41364e-2	-1.04305e-4
-1.04199e-1	-1.15813e-4
-1.14174e-1	-1.28317e-4
-1.24158e-1	-1.41694e-4
-1.34138e-1	-1.56102e-4
-1.44071e-1	-1.71925e-4
-1.54037e-1	-1.89289e-4
-1.6424e-1	-2.08497e-4
-1.74199e-1	-2.30024e-4
-1.84128e-1	-2.5419e-4
-1.94099e-1	-2.81789e-4
-2.04163e-1	-3.13111e-4
-2.14248e-1	-3.49004e-4
-2.2419e-1	-3.89876e-4
-2.34127e-1	-4.36688e-4
-2.44124e-1	-4.89932e-4
-2.5412e-1	-5.49665e-4
-2.64222e-1	-6.15003e-4
-2.74188e-1	-6.81864e-4
-2.84151e-1	-7.43812e-4
-2.94124e-1	-7.91516e-4
-3.0409e-1	-8.15529e-4
-3.14204e-1	-8.08495e-4
-3.2419e-1	-7.68788e-4
-3.3412e-1	-7.00493e-4
-3.44115e-1	-6.14174e-4
-3.54129e-1	-5.2245e-4
-3.64184e-1	-4.37388e-4
-3.74124e-1	-3.65778e-4
-3.84106e-1	-3.0959e-4
-3.94083e-1	-2.67497e-4
-4.04081e-1	-2.36422e-4
-4.142e-1	-2.13366e-4
-4.24149e-1	-1.96438e-4
-4.34111e-1	-1.83797e-4
-4.44143e-1	-1.73941e-4
-4.54109e-1	-1.66638e-4
-4.64103e-1	-1.6145e-4
-4.74136e-1	-1.57292e-4
-4.84109e-1	-1.54448e-4
-4.94132e-1	-1.52334e-4
-5.04124e-1	-1.50122e-4
-5.14146e-1	-1.48054e-4
-5.24214e-1	-1.45782e-4
-5.34176e-1	-1.43855e-4
-5.44157e-1	-1.42362e-4
-5.54075e-1	-1.40851e-4
-5.64088e-1	-1.40508e-4
-5.7416e-1	-1.40662e-4
-5.8413e-1	-1.43177e-4
-5.94184e-1	-1.48785e-4
-6.04134e-1	-1.54803e-4
-6.14128e-1	-1.59011e-4
-6.24205e-1	-1.59465e-4
-6.3418e-1	-1.56235e-4
-6.44096e-1	-1.52041e-4
-6.54072e-1	-1.49031e-4
-6.64059e-1	-1.47343e-4
-6.74142e-1	-1.46393e-4
