CURVE1 (cv_her_20.dta )
Vf (V vs. Ref.)	Im (A)
-6.84139e-1	-1.45624e-4
-6.941e-1	-1.43622e-4
-7.04136e-1	-1.40171e-4
-7.14073e-1	-1.34246e-4
-7.24192e-1	-1.27818e-4
-7.34117e-1	-1.2363e-4
-7.441e-1	-1.2183e-4
-7.54078e-1	-1.20884e-4
-7.64081e-1	-1.20064e-4
-7.74225e-1	-1.19867e-4
-7.84181e-1	-1.19931e-4
-7.94151e-1	-1.21518e-4
-8.0416e-1	-1.24258e-4
-8.14141e-1	-1.2875e-4
-8.24195e-1	-1.3731e-4
-8.34122e-1	-1.53646e-4
-8.44175e-1	-1.83332e-4
-8.54104e-1	-2.33123e-4
-8.64103e-1	-3.10068e-4
-8.74064e-1	-4.14428e-4
-8.84172e-1	-5.44685e-4
-8.94153e-1	-6.95231e-4
-9.04114e-1	-8.60645e-4
-9.14145e-1	-1.03774e-3
-9.24181e-1	-1.21976e-3
-9.34207e-1	-1.41011e-3
-9.44133e-1	-1.60542e-3
-9.54141e-1	-1.80506e-3
-9.64065e-1	-2.00879e-3
-9.74076e-1	-2.21872e-3
-9.84158e-1	-2.4311e-3
-9.94148e-1	-2.65087e-3
-1.00413e+0	-2.87564e-3
-1.01412e+0	-3.1077e-3
-1.02431e+0	-3.35106e-3
-1.03446e+0	-3.59558e-3
-1.04443e+0	-3.84686e-3
-1.05439e+0	-4.10733e-3
-1.06436e+0	-4.3769e-3
-1.07437e+0	-4.65467e-3
-1.08441e+0	-4.94268e-3
-1.09441e+0	-5.23931e-3
-1.1043e+0	-5.54112e-3
-1.11431e+0	-5.856e-3
-1.12427e+0	-6.18148e-3
-1.13445e+0	-6.51187e-3
-1.14439e+0	-6.8547e-3
-1.15437e+0	-7.20224e-3
-1.16436e+0	-7.55867e-3
-1.17429e+0	-7.92872e-3
-1.18436e+0	-8.29305e-3
-1.19434e+0	-8.66298e-3
-1.20432e+0	-9.05214e-3
-1.21434e+0	-9.43373e-3
-1.22436e+0	-9.82469e-3
-1.23448e+0	-1.02309e-2
-1.24442e+0	-1.06277e-2
-1.25439e+0	-1.10352e-2
-1.26439e+0	-1.14492e-2
-1.27433e+0	-1.18591e-2
-1.28436e+0	-1.22971e-2
-1.2944e+0	-1.27183e-2
-1.30435e+0	-1.31575e-2
-1.31436e+0	-1.35857e-2
-1.32436e+0	-1.40379e-2
-1.33434e+0	-1.44845e-2
-1.34443e+0	-1.49419e-2
-1.35442e+0	-1.53932e-2
-1.36441e+0	-1.58595e-2
-1.37437e+0	-1.63376e-2
-1.3843e+0	-1.68065e-2
-1.39443e+0	-1.7287e-2
-1.4044e+0	-1.77499e-2
-1.41441e+0	-1.82519e-2
-1.42439e+0	-1.87378e-2
-1.43433e+0	-1.92214e-2
-1.44448e+0	-1.971e-2
-1.45442e+0	-2.02096e-2
-1.46433e+0	-2.0703e-2
-1.47435e+0	-2.12108e-2
-1.4843e+0	-2.17137e-2
-1.49446e+0	-2.22246e-2
-1.50442e+0	-2.27285e-2
-1.51432e+0	-2.32359e-2
-1.52433e+0	-2.37494e-2
-1.5343e+0	-2.42935e-2
-1.54453e+0	-2.48185e-2
-1.5544e+0	-2.53747e-2
-1.56447e+0	-2.58905e-2
-1.5744e+0	-2.64324e-2
-1.58436e+0	-2.6946e-2
-1.59442e+0	-2.74932e-2
-1.60441e+0	-2.80492e-2
-1.6144e+0	-2.85816e-2
-1.62432e+0	-2.91439e-2
-1.63439e+0	-2.96904e-2
-1.6445e+0	-3.02211e-2
-1.65449e+0	-3.07624e-2
-1.66443e+0	-3.13229e-2
-1.67439e+0	-3.18767e-2
-1.68442e+0	-3.23862e-2
-1.69435e+0	-3.29698e-2
-1.70446e+0	-3.35792e-2
-1.71444e+0	-3.4145e-2
-1.7244e+0	-3.47701e-2
-1.73441e+0	-3.53106e-2
-1.74445e+0	-3.58266e-2
-1.75441e+0	-3.64051e-2
-1.76439e+0	-3.69965e-2
-1.77439e+0	-3.7623e-2
-1.78439e+0	-3.82155e-2
-1.79433e+0	-3.87852e-2
-1.80446e+0	-3.93526e-2
-1.81442e+0	-3.99414e-2
-1.8244e+0	-4.05219e-2
-1.8344e+0	-4.10694e-2
-1.84439e+0	-4.17212e-2
-1.85451e+0	-4.22939e-2
-1.86449e+0	-4.28991e-2
-1.87443e+0	-4.34579e-2
-1.88444e+0	-4.40927e-2
-1.89443e+0	-4.46898e-2
-1.9045e+0	-4.53098e-2
-1.91446e+0	-4.58403e-2
-1.92443e+0	-4.64403e-2
-1.93442e+0	-4.70599e-2
-1.94437e+0	-4.76367e-2
-1.95451e+0	-4.82495e-2
-1.96446e+0	-4.88206e-2
-1.97441e+0	-4.9486e-2
-1.98441e+0	-5.00922e-2
-1.99439e+0	-5.06681e-2
-2.00451e+0	-5.12841e-2
-2.01441e+0	-5.18372e-2
-2.02438e+0	-5.2411e-2
-2.03441e+0	-5.31151e-2
-2.04441e+0	-5.37095e-2
-2.05449e+0	-5.42841e-2
-2.06444e+0	-5.49202e-2
-2.07446e+0	-5.55244e-2
-2.08437e+0	-5.61728e-2
-2.09442e+0	-5.67747e-2
-2.10436e+0	-5.74784e-2
-2.11445e+0	-5.81274e-2
-2.12443e+0	-5.87477e-2
-2.13443e+0	-5.93871e-2
-2.14442e+0	-5.99972e-2
-2.15441e+0	-6.06169e-2
-2.16448e+0	-6.12662e-2
-2.17444e+0	-6.18974e-2
-2.1844e+0	-6.24447e-2
-2.19442e+0	-6.30975e-2
-2.20435e+0	-6.37176e-2
-2.21446e+0	-6.43273e-2
-2.22442e+0	-6.50459e-2
-2.23448e+0	-6.5774e-2
-2.24441e+0	-6.63977e-2
-2.25439e+0	-6.70192e-2
-2.26447e+0	-6.76506e-2
-2.27447e+0	-6.8252e-2
-2.28437e+0	-6.89283e-2
-2.29435e+0	-6.96367e-2
-2.30435e+0	-7.02978e-2
-2.31444e+0	-7.09017e-2
-2.32447e+0	-7.1539e-2
-2.33439e+0	-7.21198e-2
-2.34437e+0	-7.27234e-2
-2.35433e+0	-7.34519e-2
-2.36451e+0	-7.40865e-2
-2.37445e+0	-7.48099e-2
-2.38443e+0	-7.54552e-2
-2.39438e+0	-7.61795e-2
-2.40439e+0	-7.67224e-2
-2.41452e+0	-7.74097e-2
-2.42442e+0	-7.80535e-2
-2.43442e+0	-7.88186e-2
-2.44442e+0	-7.95184e-2
-2.45442e+0	-8.00611e-2
-2.46449e+0	-8.08655e-2
-2.47446e+0	-8.14653e-2
-2.48443e+0	-8.22122e-2
-2.49447e+0	-8.28621e-2
-2.50447e+0	-8.34592e-2
-2.51437e+0	-8.42526e-2
-2.52444e+0	-8.48719e-2
-2.53445e+0	-8.5521e-2
-2.54447e+0	-8.62194e-2
-2.55444e+0	-8.6872e-2
-2.56444e+0	-8.75769e-2
-2.57452e+0	-8.82196e-2
-2.58442e+0	-8.88413e-2
-2.59448e+0	-8.95208e-2
-2.60444e+0	-9.02114e-2
-2.61445e+0	-9.10394e-2
-2.6245e+0	-9.16542e-2
-2.63448e+0	-9.23472e-2
-2.64444e+0	-9.30519e-2
-2.65447e+0	-9.37993e-2
-2.66443e+0	-9.44133e-2
-2.67455e+0	-9.5117e-2
-2.68452e+0	-9.58226e-2
-2.69446e+0	-9.64578e-2
-2.70445e+0	-9.71959e-2
-2.7144e+0	-9.78578e-2
-2.72453e+0	-9.85393e-2
-2.7345e+0	-9.93118e-2
-2.74443e+0	-9.99864e-2
-2.75444e+0	-1.00714e-1
-2.76441e+0	-1.01349e-1
-2.77453e+0	-1.02106e-1
-2.78447e+0	-1.02631e-1
-2.79447e+0	-1.03558e-1
-2.8044e+0	-1.04181e-1
-2.81441e+0	-1.04858e-1
-2.82451e+0	-1.05497e-1
-2.83453e+0	-1.06225e-1
-2.84445e+0	-1.06751e-1
-2.85447e+0	-1.07607e-1
-2.86444e+0	-1.08319e-1
-2.87447e+0	-1.08926e-1
-2.88454e+0	-1.09712e-1
-2.89445e+0	-1.10392e-1
-2.9045e+0	-1.1117e-1
-2.91445e+0	-1.1189e-1
-2.92442e+0	-1.12621e-1
-2.9345e+0	-1.13328e-1
-2.94445e+0	-1.13979e-1
-2.95449e+0	-1.14574e-1
-2.96447e+0	-1.15246e-1
-2.97444e+0	-1.16016e-1
-2.98448e+0	-1.16822e-1
-2.99448e+0	-1.17462e-1
-3.00446e+0	-1.18171e-1
-2.99444e+0	-1.17415e-1
-2.98452e+0	-1.16906e-1
-2.97449e+0	-1.16156e-1
-2.96448e+0	-1.15252e-1
-2.95444e+0	-1.14702e-1
-2.94445e+0	-1.14091e-1
-2.93449e+0	-1.13304e-1
-2.92447e+0	-1.12537e-1
-2.91446e+0	-1.11873e-1
-2.90448e+0	-1.11104e-1
-2.8945e+0	-1.10406e-1
-2.88452e+0	-1.09687e-1
-2.87446e+0	-1.0908e-1
-2.86446e+0	-1.08438e-1
-2.85447e+0	-1.07748e-1
-2.84447e+0	-1.07002e-1
-2.8345e+0	-1.06277e-1
-2.8245e+0	-1.05568e-1
-2.81442e+0	-1.04811e-1
-2.80442e+0	-1.04153e-1
-2.79441e+0	-1.03436e-1
-2.78446e+0	-1.0287e-1
-2.77452e+0	-1.02199e-1
-2.76443e+0	-1.01403e-1
-2.75445e+0	-1.00705e-1
-2.74447e+0	-9.99545e-2
-2.73446e+0	-9.91909e-2
-2.72449e+0	-9.86481e-2
-2.71446e+0	-9.79084e-2
-2.70449e+0	-9.72387e-2
-2.69445e+0	-9.65036e-2
-2.68454e+0	-9.57771e-2
-2.67453e+0	-9.5101e-2
-2.66443e+0	-9.44236e-2
-2.65447e+0	-9.36889e-2
-2.64449e+0	-9.29728e-2
-2.63446e+0	-9.22759e-2
-2.6245e+0	-9.16378e-2
-2.61441e+0	-9.10152e-2
-2.60441e+0	-9.02165e-2
-2.59448e+0	-8.95694e-2
-2.58448e+0	-8.88938e-2
-2.57457e+0	-8.82135e-2
-2.56446e+0	-8.74437e-2
-2.55444e+0	-8.6814e-2
-2.54443e+0	-8.60749e-2
-2.53444e+0	-8.52911e-2
-2.52448e+0	-8.46594e-2
-2.51441e+0	-8.39314e-2
-2.50446e+0	-8.32282e-2
-2.49444e+0	-8.27183e-2
-2.48444e+0	-8.19156e-2
-2.47449e+0	-8.12203e-2
-2.46452e+0	-8.0615e-2
-2.45444e+0	-7.99752e-2
-2.4444e+0	-7.92606e-2
-2.43444e+0	-7.86493e-2
-2.4245e+0	-7.78658e-2
-2.41453e+0	-7.72281e-2
-2.40443e+0	-7.66247e-2
-2.39443e+0	-7.59157e-2
-2.38444e+0	-7.52197e-2
-2.37445e+0	-7.45021e-2
-2.36452e+0	-7.38263e-2
-2.35435e+0	-7.31734e-2
-2.3444e+0	-7.25899e-2
-2.33438e+0	-7.18486e-2
-2.32445e+0	-7.12208e-2
-2.31446e+0	-7.04441e-2
-2.30438e+0	-6.97728e-2
-2.29439e+0	-6.90959e-2
-2.28436e+0	-6.85284e-2
-2.27449e+0	-6.78415e-2
-2.26451e+0	-6.71431e-2
-2.25435e+0	-6.65003e-2
-2.24442e+0	-6.58001e-2
-2.23446e+0	-6.51402e-2
-2.22444e+0	-6.45013e-2
-2.21448e+0	-6.38793e-2
-2.20437e+0	-6.31703e-2
-2.19438e+0	-6.2484e-2
-2.18442e+0	-6.18126e-2
-2.17449e+0	-6.11758e-2
-2.16447e+0	-6.04697e-2
-2.15447e+0	-5.98185e-2
-2.14444e+0	-5.91676e-2
-2.13449e+0	-5.85057e-2
-2.12444e+0	-5.79128e-2
-2.11449e+0	-5.72242e-2
-2.10438e+0	-5.6644e-2
-2.09442e+0	-5.59472e-2
-2.08443e+0	-5.52761e-2
-2.07441e+0	-5.46616e-2
-2.06446e+0	-5.40122e-2
-2.05452e+0	-5.33669e-2
-2.04433e+0	-5.27561e-2
-2.03438e+0	-5.20727e-2
-2.02442e+0	-5.14186e-2
-2.01442e+0	-5.07979e-2
-2.00443e+0	-5.01757e-2
-1.99439e+0	-4.95428e-2
-1.98443e+0	-4.89175e-2
-1.97436e+0	-4.82859e-2
-1.96448e+0	-4.7621e-2
-1.9545e+0	-4.70066e-2
-1.94437e+0	-4.64036e-2
-1.93446e+0	-4.57778e-2
-1.92443e+0	-4.51772e-2
-1.91447e+0	-4.4532e-2
-1.90447e+0	-4.38695e-2
-1.89441e+0	-4.32662e-2
-1.88442e+0	-4.2656e-2
-1.87445e+0	-4.2048e-2
-1.86447e+0	-4.14166e-2
-1.85449e+0	-4.08139e-2
-1.84442e+0	-4.01901e-2
-1.83443e+0	-3.96082e-2
-1.82448e+0	-3.90003e-2
-1.81445e+0	-3.84714e-2
-1.80445e+0	-3.78661e-2
-1.79434e+0	-3.72639e-2
-1.78436e+0	-3.66981e-2
-1.77442e+0	-3.6119e-2
-1.76442e+0	-3.555e-2
-1.75445e+0	-3.4966e-2
-1.74444e+0	-3.43986e-2
-1.73444e+0	-3.37999e-2
-1.72438e+0	-3.32487e-2
-1.71442e+0	-3.266e-2
-1.70443e+0	-3.21038e-2
-1.69438e+0	-3.15482e-2
-1.68445e+0	-3.09878e-2
-1.67446e+0	-3.04464e-2
-1.66442e+0	-2.99135e-2
-1.65444e+0	-2.93641e-2
-1.64452e+0	-2.88112e-2
-1.63438e+0	-2.82676e-2
-1.62438e+0	-2.77249e-2
-1.61442e+0	-2.72027e-2
-1.60443e+0	-2.66887e-2
-1.59446e+0	-2.61669e-2
-1.58438e+0	-2.56366e-2
-1.57441e+0	-2.51334e-2
-1.56439e+0	-2.46199e-2
-1.55445e+0	-2.41298e-2
-1.54452e+0	-2.36185e-2
-1.53437e+0	-2.31126e-2
-1.52438e+0	-2.26414e-2
-1.51434e+0	-2.21346e-2
-1.50441e+0	-2.16558e-2
-1.49436e+0	-2.11782e-2
-1.48435e+0	-2.07023e-2
-1.47437e+0	-2.02586e-2
-1.46433e+0	-1.97811e-2
-1.45443e+0	-1.93143e-2
-1.44443e+0	-1.88589e-2
-1.43435e+0	-1.83991e-2
-1.42439e+0	-1.79584e-2
-1.41438e+0	-1.751e-2
-1.40441e+0	-1.70583e-2
-1.39442e+0	-1.6622e-2
-1.38432e+0	-1.61906e-2
-1.37439e+0	-1.57517e-2
-1.36443e+0	-1.53239e-2
-1.35445e+0	-1.48994e-2
-1.34444e+0	-1.44845e-2
-1.33437e+0	-1.40702e-2
-1.32434e+0	-1.36604e-2
-1.31439e+0	-1.32565e-2
-1.30434e+0	-1.28539e-2
-1.29442e+0	-1.24468e-2
-1.28436e+0	-1.20545e-2
-1.27435e+0	-1.16523e-2
-1.26435e+0	-1.12751e-2
-1.2544e+0	-1.08936e-2
-1.24444e+0	-1.05123e-2
-1.2345e+0	-1.01415e-2
-1.22436e+0	-9.78309e-3
-1.21432e+0	-9.41605e-3
-1.20438e+0	-9.05417e-3
-1.1944e+0	-8.68929e-3
-1.18446e+0	-8.33655e-3
-1.17435e+0	-7.98516e-3
-1.16432e+0	-7.63913e-3
-1.15434e+0	-7.30521e-3
-1.1444e+0	-6.97308e-3
-1.13442e+0	-6.64101e-3
-1.1243e+0	-6.31567e-3
-1.11431e+0	-5.99349e-3
-1.10434e+0	-5.67332e-3
-1.0944e+0	-5.36362e-3
-1.0844e+0	-5.05548e-3
-1.07438e+0	-4.75451e-3
-1.06436e+0	-4.45993e-3
-1.05438e+0	-4.17003e-3
-1.04445e+0	-3.88562e-3
-1.03444e+0	-3.60811e-3
-1.02431e+0	-3.33792e-3
-1.01412e+0	-3.06825e-3
-1.00412e+0	-2.80872e-3
-9.94157e-1	-2.55669e-3
-9.84157e-1	-2.31056e-3
-9.74126e-1	-2.07096e-3
-9.64095e-1	-1.84013e-3
-9.54142e-1	-1.61777e-3
-9.4414e-1	-1.39869e-3
-9.34188e-1	-1.18701e-3
-9.24176e-1	-9.83768e-4
-9.14162e-1	-7.88312e-4
-9.04137e-1	-6.03786e-4
-8.94208e-1	-4.25077e-4
-8.84192e-1	-2.57609e-4
-8.74024e-1	-1.04403e-4
-8.6412e-1	3.01437e-5
-8.54132e-1	1.09365e-4
-8.44139e-1	2.23235e-4
-8.34185e-1	2.74447e-4
-8.24259e-1	2.92563e-4
-8.14146e-1	2.85535e-4
-8.04118e-1	2.62581e-4
-7.94126e-1	2.34125e-4
-7.84125e-1	2.05006e-4
-7.74215e-1	1.80617e-4
-7.64123e-1	1.59348e-4
-7.541e-1	1.39664e-4
-7.44097e-1	1.23785e-4
-7.34104e-1	1.10279e-4
-7.24187e-1	9.85408e-5
-7.14083e-1	8.92943e-5
-7.04117e-1	8.16852e-5
-6.94121e-1	7.57001e-5
-6.84126e-1	7.14224e-5
-6.74212e-1	6.77735e-5
-6.64082e-1	6.53687e-5
-6.54096e-1	6.30737e-5
-6.44149e-1	6.06372e-5
-6.34173e-1	5.97214e-5
-6.24205e-1	6.29799e-5
-6.14101e-1	6.99187e-5
-6.04133e-1	8.00886e-5
-5.94178e-1	8.942e-5
-5.84209e-1	8.84507e-5
-5.74185e-1	7.21788e-5
-5.6413e-1	5.43032e-5
-5.54106e-1	4.70989e-5
-5.44146e-1	4.6864e-5
-5.34207e-1	4.73395e-5
-5.24201e-1	4.53834e-5
-5.14129e-1	4.15563e-5
-5.04126e-1	3.76971e-5
-4.94105e-1	3.78618e-5
-4.84082e-1	4.22738e-5
-4.74146e-1	4.60156e-5
-4.64115e-1	3.74976e-5
-4.54163e-1	1.60719e-5
-4.44136e-1	-1.02044e-6
-4.3414e-1	-7.58102e-6
-4.24157e-1	-9.13356e-6
-4.1421e-1	-1.10288e-5
-4.04109e-1	-1.23992e-5
-3.94104e-1	-1.30544e-5
-3.84139e-1	-1.45083e-5
-3.74141e-1	-1.46515e-5
-3.64185e-1	-1.51632e-5
-3.54067e-1	-1.59308e-5
-3.44119e-1	-1.58411e-5
-3.34138e-1	-1.49985e-5
-3.24157e-1	-1.3048e-5
-3.14228e-1	-1.06694e-5
-3.04127e-1	-9.03946e-6
-2.94156e-1	-9.42718e-6
-2.84156e-1	-1.00503e-5
-2.7419e-1	-1.03314e-5
-2.64166e-1	-1.18299e-5
-2.54121e-1	-1.2238e-5
-2.44137e-1	-1.29383e-5
-2.34151e-1	-1.43212e-5
-2.24216e-1	-1.49909e-5
-2.14232e-1	-1.46727e-5
-2.04163e-1	-1.43905e-5
-1.9411e-1	-1.44998e-5
-1.84177e-1	-1.51209e-5
-1.74181e-1	-1.63076e-5
-1.64201e-1	-1.66747e-5
-1.54061e-1	-1.66082e-5
-1.44068e-1	-1.64723e-5
-1.34152e-1	-1.62585e-5
-1.24172e-1	-1.57021e-5
-1.14176e-1	-1.49899e-5
-1.04155e-1	-1.31682e-5
-9.41594e-2	-1.12178e-5
-8.41305e-2	-9.36036e-6
-7.41322e-2	-6.77166e-6
-6.41198e-2	-4.27455e-6
-5.40837e-2	-1.47739e-6
-4.41494e-2	2.53583e-6
-3.4186e-2	7.05257e-6
-2.41582e-2	1.08165e-5
-1.42118e-2	1.73976e-5
-4.17324e-3	2.3683e-5
5.87892e-3	2.97398e-5
1.58928e-2	3.65121e-5
2.59048e-2	4.31136e-5
3.58704e-2	4.88526e-5
4.59588e-2	5.40011e-5
5.59321e-2	5.85087e-5
6.59641e-2	6.20619e-5
7.59431e-2	6.48956e-5
8.59084e-2	6.63481e-5
9.58755e-2	6.73833e-5
1.05914e-1	6.80216e-5
1.15924e-1	6.83343e-5
1.2594e-1	6.83788e-5
1.35906e-1	6.84637e-5
1.45862e-1	6.83743e-5
1.55951e-1	6.84539e-5
1.65905e-1	6.86393e-5
1.75941e-1	6.8519e-5
1.85849e-1	6.82742e-5
1.95867e-1	6.80519e-5
2.05914e-1	6.79738e-5
2.15926e-1	6.7544e-5
2.25884e-1	6.72861e-5
2.35894e-1	6.67321e-5
2.45839e-1	6.64009e-5
2.5593e-1	6.60688e-5
2.65897e-1	6.59083e-5
2.75879e-1	6.5673e-5
2.85845e-1	6.55561e-5
2.95802e-1	6.54912e-5
3.05955e-1	6.53027e-5
3.15928e-1	6.53131e-5
3.25897e-1	6.54155e-5
3.35918e-1	6.53976e-5
3.4588e-1	6.55379e-5
3.55955e-1	6.55999e-5
3.65963e-1	6.56216e-5
3.75894e-1	6.58231e-5
3.8592e-1	6.59275e-5
3.9586e-1	6.62168e-5
4.0601e-1	6.63549e-5
4.15963e-1	6.63924e-5
4.25895e-1	6.66686e-5
4.35954e-1	6.68461e-5
4.45919e-1	6.71496e-5
4.55955e-1	6.74164e-5
4.65903e-1	6.77691e-5
4.75901e-1	6.80593e-5
4.85887e-1	6.83347e-5
4.95853e-1	6.8563e-5
5.05825e-1	6.88949e-5
5.15914e-1	6.91601e-5
5.25889e-1	6.95324e-5
5.35877e-1	6.99159e-5
5.45875e-1	7.02689e-5
5.55846e-1	7.06974e-5
5.65956e-1	7.11656e-5
5.75846e-1	7.17391e-5
5.85886e-1	7.23389e-5
5.95817e-1	7.31031e-5
6.05753e-1	7.39601e-5
6.15914e-1	7.48888e-5
6.25867e-1	7.59796e-5
6.35885e-1	7.71918e-5
6.45844e-1	7.86561e-5
6.55855e-1	8.0457e-5
6.65967e-1	8.29177e-5
6.75949e-1	8.60494e-5
6.85907e-1	9.02055e-5
6.95884e-1	9.56881e-5
7.05856e-1	1.03056e-4
7.15956e-1	1.12964e-4
7.25936e-1	1.25913e-4
7.35859e-1	1.4298e-4
7.45857e-1	1.64807e-4
7.5588e-1	1.9239e-4
7.65893e-1	2.26651e-4
7.75919e-1	2.68362e-4
7.859e-1	3.18541e-4
7.95805e-1	3.77823e-4
8.0589e-1	4.47173e-4
8.16001e-1	5.26637e-4
8.25897e-1	6.17316e-4
8.35957e-1	7.19499e-4
8.45886e-1	8.33363e-4
8.55892e-1	9.59701e-4
8.6607e-1	1.10098e-3
8.75958e-1	1.25205e-3
8.85966e-1	1.41521e-3
8.95951e-1	1.58926e-3
9.05918e-1	1.77597e-3
9.15895e-1	1.9732e-3
9.2592e-1	2.18219e-3
9.35989e-1	2.40114e-3
9.45947e-1	2.63072e-3
9.5592e-1	2.86963e-3
9.65894e-1	3.12e-3
9.7597e-1	3.37868e-3
9.85936e-1	3.64668e-3
9.95921e-1	3.92315e-3
1.00588e+0	4.20764e-3
1.0159e+0	4.49839e-3
1.02594e+0	4.79572e-3
1.03591e+0	5.10008e-3
1.04595e+0	5.41413e-3
1.0559e+0	5.72848e-3
1.06588e+0	6.05255e-3
1.07596e+0	6.37802e-3
1.0859e+0	6.71108e-3
1.09588e+0	7.04652e-3
1.10579e+0	7.38504e-3
1.11583e+0	7.73109e-3
1.12596e+0	8.07871e-3
1.13599e+0	8.42733e-3
1.14594e+0	8.78674e-3
1.15591e+0	9.14841e-3
1.16595e+0	9.51201e-3
1.17602e+0	9.87371e-3
1.18598e+0	1.0241e-2
1.19596e+0	1.06174e-2
1.20597e+0	1.09909e-2
1.21597e+0	1.13739e-2
1.22605e+0	1.17503e-2
1.23599e+0	1.21363e-2
1.246e+0	1.2518e-2
1.25598e+0	1.29129e-2
1.26595e+0	1.32979e-2
1.27598e+0	1.36975e-2
1.28596e+0	1.40917e-2
1.29599e+0	1.44994e-2
1.30594e+0	1.49075e-2
1.31594e+0	1.53029e-2
1.32591e+0	1.57103e-2
1.336e+0	1.612e-2
1.346e+0	1.65292e-2
1.35603e+0	1.69512e-2
1.36597e+0	1.73524e-2
1.37594e+0	1.77596e-2
1.386e+0	1.81752e-2
1.39603e+0	1.85853e-2
1.40603e+0	1.90054e-2
1.4159e+0	1.94109e-2
1.42591e+0	1.98166e-2
1.43602e+0	2.02249e-2
1.44599e+0	2.06573e-2
1.45601e+0	2.10962e-2
1.46596e+0	2.15103e-2
1.47594e+0	2.19471e-2
1.486e+0	2.23745e-2
1.49602e+0	2.28113e-2
1.50597e+0	2.32249e-2
1.51589e+0	2.36698e-2
1.52594e+0	2.40669e-2
1.53602e+0	2.45112e-2
1.54601e+0	2.49459e-2
1.55593e+0	2.53547e-2
1.56595e+0	2.57989e-2
1.57595e+0	2.62575e-2
1.58607e+0	2.66604e-2
1.59602e+0	2.70865e-2
1.60598e+0	2.75111e-2
1.61602e+0	2.79667e-2
1.62597e+0	2.83699e-2
1.63612e+0	2.88219e-2
1.64604e+0	2.92261e-2
1.65604e+0	2.96295e-2
1.666e+0	3.00337e-2
1.67602e+0	3.04675e-2
1.68607e+0	3.0942e-2
1.69604e+0	3.13443e-2
1.70607e+0	3.1783e-2
1.716e+0	3.21206e-2
1.72601e+0	3.25123e-2
